temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district,rain_3day,rain_7day,rain_14day,rain_30day,rain_intensity_3day,risk
8.3,14.8,2.9,61,0.6,0.6,51,1984-02-07,Almora,0.6,19.4,19.7,42.800000000000004,0.19999999999999998,2
5.0,7.7,2.2,95,15.8,15.8,61,1993-01-07,Almora,30.900000000000063,34.50000000000003,34.60000000000003,37.6,10.30000000000002,2
22.7,26.6,19.7,80,0.8,0.8,51,2000-08-06,Almora,2.400000000000057,84.20000000000012,254.20000000000002,647.8,0.800000000000019,2
19.8,24.1,16.0,78,12.7,12.7,63,2001-06-07,Almora,36.000000000000064,137.6000000000001,248.89999999999998,423.1,12.000000000000021,2
8.7,14.1,3.8,58,0.0,0.0,2,2004-01-06,Almora,0.0,1.1000000000001706,8.6,14.799999999999999,0.0,2
21.6,26.6,17.4,69,0.9,0.9,53,2019-06-02,Almora,1.0000000000001492,1.000000000000199,2.200000000000072,15.2,0.33333333333338305,2
22.0,25.9,18.0,86,0.3,0.3,51,2019-09-02,Almora,32.40000000000014,39.800000000000196,96.40000000000008,260.7,10.800000000000047,2
13.0,19.6,7.5,60,0.0,0.0,0,2000-11-25,Almora,0.9000000000000496,1.300000000000117,2.0,5.7,0.30000000000001653,0
13.4,19.7,6.7,56,0.0,0.0,3,2006-03-18,Almora,2.5000000000000533,40.70000000000017,80.10000000000001,82.0,0.8333333333333511,0
20.2,24.0,17.8,89,13.3,13.3,63,1990-09-14,Almora,42.100000000000094,97.39999999999999,320.6,617.0,14.033333333333365,0
20.9,24.7,19.0,93,16.4,16.4,63,1992-07-30,Almora,47.500000000000064,103.30000000000003,215.50000000000003,497.8,15.833333333333355,0
22.0,26.0,19.2,85,10.5,10.5,63,2002-07-27,Almora,55.400000000000084,96.20000000000013,362.2,829.3,18.466666666666693,0
19.8,24.7,15.6,77,8.9,8.9,63,1997-06-05,Almora,50.700000000000045,110.00000000000009,178.4,212.6,16.900000000000016,0
12.7,17.5,8.4,75,2.1,2.1,53,1996-03-19,Almora,9.70000000000008,12.600000000000092,24.8,122.1,3.2333333333333596,0
9.0,16.4,3.2,58,0.0,0.0,3,2007-01-11,Almora,0.0,0.0,0.0,1.9,0.0,0
19.9,24.7,16.4,82,15.2,15.2,63,1993-06-01,Almora,37.10000000000007,95.60000000000002,105.50000000000003,193.1,12.36666666666669,0
17.0,22.7,11.3,63,0.6,0.6,51,2015-10-22,Almora,2.1000000000001102,3.0000000000001954,40.10000000000005,59.1,0.7000000000000367,0
16.7,22.9,9.6,40,0.0,0.0,3,1999-03-24,Almora,0.30000000000005683,0.3000000000001137,5.2,35.5,0.10000000000001895,0
21.9,27.3,15.5,41,0.0,0.0,3,1995-04-27,Almora,6.900000000000087,15.100000000000074,35.9,88.0,2.300000000000029,0
22.0,28.5,15.6,29,0.0,0.0,2,1986-04-20,Almora,0.0,0.30000000000000004,8.8,67.4,0.0,0
