temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district,rain_3day,rain_7day,rain_14day,rain_30day,rain_intensity_3day,risk
12.9,19.5,8.2,82,0.0,0.0,1,2021-01-24,Haridwar,0.0,0.0,0.0,12.399999999999999,0.0,0
7.4,16.0,1.1,60,0.0,0.0,0,2021-01-30,Almora,0.2,0.2,0.2,9.9,0.06666666666666667,0
8.9,19.3,-0.1,62,0.0,0.0,0,2021-01-30,Bageshwar,0.0,0.0,0.0,6.5,0.0,0
9.1,15.9,2.8,31,0.0,0.0,0,2021-01-30,Chamoli,0.0,0.1,0.1,9.9,0.0,0
10.3,16.6,4.6,74,0.0,0.0,1,2021-01-30,Dehradun,0.0,0.0,0.0,10.1,0.0,0
10.2,18.0,4.3,81,0.0,0.0,3,2021-01-30,Haridwar,0.0,0.0,0.0,12.399999999999999,0.0,0
5.6,10.8,0.0,65,0.0,0.0,0,2021-01-30,Nainital,0.7000000000000008,0.7,0.7,14.1,0.23333333333333361,0
8.3,14.9,3.8,57,0.0,0.0,2,2021-01-30,Pithoragarh,0.0,0.0,0.0,8.6,0.0,0
10.1,18.2,4.1,66,0.0,0.0,3,2021-01-30,Tehri Garhwal,0.1,2.0,2.0,27.1,0.03333333333333333,0
11.1,18.0,3.8,77,0.0,0.0,0,2021-01-31,Haridwar,0.0,0.0,0.0,12.399999999999999,0.0,0
17.2,24.3,11.8,64,0.0,0.0,0,2021-02-19,Haridwar,0.0,0.0,0.0,14.4,0.0,0
16.0,23.6,8.8,47,0.0,0.0,0,2021-02-26,Almora,0.0,0.1,2.2,12.4,0.0,0
17.3,27.7,7.9,56,0.0,0.0,0,2021-02-26,Bageshwar,0.0,0.0,1.5,19.3,0.0,0
15.8,23.3,9.2,46,0.0,0.0,1,2021-02-26,Chamoli,0.0,1.6,2.1,11.0,0.0,0
20.2,27.2,11.7,45,0.0,0.0,3,2021-02-26,Dehradun,0.0,0.0,0.6000000000000001,4.3,0.0,0
17.0,24.1,11.0,40,0.0,0.0,0,2021-02-26,Pithoragarh,0.0,2.9,7.1000000000000005,15.0,0.0,0
19.6,26.8,13.2,48,0.0,0.0,2,2021-02-26,Tehri Garhwal,0.0,0.0,1.9,39.9,0.0,0
15.3,21.7,10.3,51,0.0,0.0,2,2021-03-07,Almora,0.0,0.0,0.2,2.3000000000000003,0.0,0
17.3,25.0,9.6,59,0.4,0.4,51,2021-03-07,Bageshwar,0.4,0.4,0.7000000000000001,2.6,0.13333333333333333,0
14.0,20.4,8.7,62,0.7,0.7,51,2021-03-07,Chamoli,0.7,1.2,3.7,4.2,0.2333333333333333,0
20.0,27.4,12.5,52,0.3,0.3,51,2021-03-07,Dehradun,0.30000000000000043,0.3,1.5000000000000002,2.0999999999999996,0.10000000000000014,0
22.2,30.6,14.8,51,0.0,0.0,2,2021-03-07,Haridwar,0.0,0.0,0.0,0.0,0.0,0
12.9,18.1,7.4,54,1.7,1.7,53,2021-03-07,Nainital,1.7000000000000017,1.7000000000000017,2.8,10.3,0.5666666666666672,0
15.5,21.7,10.3,54,2.1,2.1,53,2021-03-07,Pithoragarh,2.1,2.3000000000000003,5.4,10.200000000000001,0.7000000000000001,0
19.1,23.3,13.6,57,1.1,1.1,51,2021-03-07,Tehri Garhwal,1.1,1.7000000000000002,4.4,6.300000000000001,0.3666666666666667,0
15.8,22.1,10.7,49,0.2,0.2,51,2021-03-11,Almora,0.2,8.1,8.200000000000001,10.4,0.06666666666666667,0
16.6,26.3,6.9,60,0.0,0.0,1,2021-03-11,Bageshwar,0.8,13.3,13.6,15.5,0.26666666666666666,0
14.8,22.3,7.1,46,0.1,0.1,51,2021-03-11,Chamoli,0.1,8.5,9.9,12.0,0.03333333333333333,0
20.3,27.7,13.3,49,0.0,0.0,2,2021-03-11,Dehradun,0.0,2.5999999999999996,3.8,4.3999999999999995,0.0,0
22.6,30.8,15.4,51,0.0,0.0,1,2021-03-11,Haridwar,0.0,1.1,1.1,1.1,0.0,0
16.7,22.0,11.8,45,0.1,0.1,51,2021-03-11,Pithoragarh,2.2,13.8,14.2,21.6,0.7333333333333334,0
