temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
9.5,13.6,6.8,83,0.0,0.0,3,1989-01-01,Almora
7.2,11.1,4.9,87,8.7,8.7,55,1989-01-02,Almora
7.3,11.7,3.0,77,1.8,1.8,53,1989-01-03,Almora
8.4,12.4,5.3,74,0.4,0.4,51,1989-01-04,Almora
8.2,11.1,5.6,80,0.5,0.5,51,1989-01-05,Almora
6.1,8.3,4.3,90,11.4,11.4,61,1989-01-06,Almora
5.9,8.3,4.3,94,26.1,26.1,63,1989-01-07,Almora
5.1,7.3,3.4,98,65.0,64.6,71,1989-01-08,Almora
6.0,11.8,1.8,74,0.0,0.0,3,1989-01-09,Almora
5.4,12.8,-0.8,70,0.0,0.0,0,1989-01-10,Almora
4.2,9.9,-0.6,76,0.0,0.0,3,1989-01-11,Almora
5.2,11.2,0.3,74,0.0,0.0,2,1989-01-12,Almora
6.1,13.3,0.2,72,0.0,0.0,0,1989-01-13,Almora
7.2,14.0,1.3,64,0.0,0.0,0,1989-01-14,Almora
7.9,15.3,2.4,69,0.0,0.0,0,1989-01-15,Almora
6.3,12.2,1.4,67,0.0,0.0,0,1989-01-16,Almora
6.4,12.6,0.7,70,0.0,0.0,0,1989-01-17,Almora
6.9,13.5,1.4,72,0.0,0.0,0,1989-01-18,Almora
6.7,13.3,1.6,73,0.0,0.0,0,1989-01-19,Almora
6.8,12.8,1.0,69,0.0,0.0,1,1989-01-20,Almora
8.4,16.1,1.6,74,0.0,0.0,2,1989-01-21,Almora
8.2,15.0,3.2,76,0.0,0.0,2,1989-01-22,Almora
8.4,15.7,2.1,72,0.0,0.0,2,1989-01-23,Almora
8.8,15.3,3.5,72,0.0,0.0,1,1989-01-24,Almora
9.2,16.3,4.0,70,0.0,0.0,1,1989-01-25,Almora
9.3,16.3,3.6,64,0.0,0.0,0,1989-01-26,Almora
8.4,15.6,1.6,66,0.0,0.0,0,1989-01-27,Almora
9.2,17.1,2.3,68,0.0,0.0,0,1989-01-28,Almora
10.5,19.0,3.1,65,0.0,0.0,3,1989-01-29,Almora
12.2,19.4,6.1,62,0.0,0.0,3,1989-01-30,Almora
13.0,19.1,8.3,61,0.0,0.0,3,1989-01-31,Almora
13.2,19.3,8.0,54,0.0,0.0,3,1989-02-01,Almora
12.8,20.8,5.6,60,0.0,0.0,3,1989-02-02,Almora
13.6,20.9,8.1,61,0.0,0.0,3,1989-02-03,Almora
12.8,18.7,8.3,68,0.3,0.3,51,1989-02-04,Almora
10.1,14.8,6.5,77,6.7,6.7,61,1989-02-05,Almora
9.0,14.9,3.6,70,0.8,0.8,51,1989-02-06,Almora
8.4,14.3,3.5,62,0.0,0.0,0,1989-02-07,Almora
7.3,13.8,1.7,57,0.0,0.0,1,1989-02-08,Almora
7.3,14.4,1.0,58,0.0,0.0,0,1989-02-09,Almora
8.0,15.4,1.5,63,0.0,0.0,0,1989-02-10,Almora
8.0,14.8,2.0,65,0.0,0.0,1,1989-02-11,Almora
8.5,15.5,1.5,64,0.0,0.0,2,1989-02-12,Almora
7.1,9.8,4.8,71,0.1,0.1,51,1989-02-13,Almora
7.4,11.9,3.7,70,1.7,1.7,51,1989-02-14,Almora
8.0,13.8,2.7,61,0.0,0.0,1,1989-02-15,Almora
7.6,13.3,1.7,57,0.0,0.0,1,1989-02-16,Almora
6.7,11.4,2.2,66,2.9,2.9,53,1989-02-17,Almora
5.1,11.8,1.3,83,9.8,9.3,73,1989-02-18,Almora
4.5,10.1,-0.9,74,3.1,3.1,53,1989-02-19,Almora
7.1,13.5,0.9,62,0.0,0.0,2,1989-02-20,Almora
7.1,12.4,2.0,58,0.3,0.3,51,1989-02-21,Almora
7.1,11.9,2.8,56,0.5,0.5,51,1989-02-22,Almora
9.0,16.4,1.5,56,0.0,0.0,0,1989-02-23,Almora
11.6,19.3,4.4,58,0.0,0.0,0,1989-02-24,Almora
13.3,19.1,7.2,52,0.0,0.0,1,1989-02-25,Almora
13.3,20.9,5.0,54,0.0,0.0,1,1989-02-26,Almora
12.9,20.9,5.6,57,1.9,1.9,61,1989-02-27,Almora
13.0,20.4,5.7,54,0.0,0.0,1,1989-02-28,Almora
11.9,18.2,6.1,54,0.2,0.2,51,1989-03-01,Almora
11.7,18.6,4.2,47,0.0,0.0,0,1989-03-02,Almora
