temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
12.1,18.6,4.8,54,0.0,0.0,3,2006-01-01,Bageshwar
12.5,17.5,7.3,52,0.0,0.0,3,2006-01-02,Bageshwar
10.6,12.5,6.8,70,10.1,10.1,61,2006-01-03,Bageshwar
10.8,18.6,4.1,62,0.0,0.0,2,2006-01-04,Bageshwar
11.2,19.6,3.2,51,0.0,0.0,2,2006-01-05,Bageshwar
11.4,19.1,3.8,51,0.0,0.0,3,2006-01-06,Bageshwar
12.1,19.7,6.0,50,0.0,0.0,3,2006-01-07,Bageshwar
11.2,19.9,3.5,51,0.0,0.0,3,2006-01-08,Bageshwar
11.3,20.1,2.8,50,0.0,0.0,3,2006-01-09,Bageshwar
12.8,20.1,6.8,53,0.0,0.0,3,2006-01-10,Bageshwar
12.2,20.4,4.6,53,0.0,0.0,0,2006-01-11,Bageshwar
11.6,18.6,5.7,49,0.0,0.0,0,2006-01-12,Bageshwar
11.4,18.9,4.9,53,0.0,0.0,1,2006-01-13,Bageshwar
12.0,18.7,5.6,53,0.0,0.0,0,2006-01-14,Bageshwar
10.9,13.9,7.3,72,2.3,2.3,51,2006-01-15,Bageshwar
11.9,15.5,8.6,75,0.1,0.1,51,2006-01-16,Bageshwar
11.0,14.5,9.2,77,0.6,0.6,51,2006-01-17,Bageshwar
11.7,16.1,8.1,73,0.9,0.9,51,2006-01-18,Bageshwar
12.3,19.0,6.9,61,0.0,0.0,3,2006-01-19,Bageshwar
11.9,19.0,5.5,55,0.0,0.0,3,2006-01-20,Bageshwar
10.3,16.5,4.5,53,0.0,0.0,3,2006-01-21,Bageshwar
11.2,17.9,6.1,53,0.0,0.0,3,2006-01-22,Bageshwar
9.8,16.4,3.8,48,0.0,0.0,0,2006-01-23,Bageshwar
8.9,15.0,1.5,49,0.0,0.0,0,2006-01-24,Bageshwar
10.2,17.7,2.6,47,0.0,0.0,2,2006-01-25,Bageshwar
10.6,16.9,3.4,54,0.0,0.0,3,2006-01-26,Bageshwar
12.1,19.7,4.4,54,0.0,0.0,0,2006-01-27,Bageshwar
13.5,21.2,6.4,57,0.0,0.0,3,2006-01-28,Bageshwar
15.2,23.2,7.9,54,0.0,0.0,3,2006-01-29,Bageshwar
16.1,24.8,8.4,51,0.0,0.0,3,2006-01-30,Bageshwar
15.9,24.6,8.5,52,0.0,0.0,3,2006-01-31,Bageshwar
15.9,22.7,9.4,52,0.0,0.0,3,2006-02-01,Bageshwar
16.4,23.3,10.8,50,0.0,0.0,3,2006-02-02,Bageshwar
14.7,21.3,8.6,51,0.0,0.0,2,2006-02-03,Bageshwar
15.4,23.4,7.6,42,0.0,0.0,0,2006-02-04,Bageshwar
16.4,25.2,8.2,43,0.0,0.0,0,2006-02-05,Bageshwar
16.8,22.5,12.9,59,0.0,0.0,3,2006-02-06,Bageshwar
17.0,22.7,12.9,59,0.0,0.0,3,2006-02-07,Bageshwar
