temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
6.9,13.2,1.1,63,0.1,0.1,51,2004-01-01,Chamoli
6.8,12.8,1.7,54,0.4,0.4,51,2004-01-02,Chamoli
6.5,13.0,0.9,48,0.0,0.0,0,2004-01-03,Chamoli
6.3,12.6,0.9,45,0.0,0.0,3,2004-01-04,Chamoli
7.2,12.6,2.6,46,0.0,0.0,3,2004-01-05,Chamoli
7.6,12.3,4.2,50,0.1,0.1,51,2004-01-06,Chamoli
7.6,12.5,3.7,45,0.0,0.0,3,2004-01-07,Chamoli
7.6,12.1,3.1,47,0.0,0.0,3,2004-01-08,Chamoli
9.7,14.3,6.3,51,0.0,0.0,1,2004-01-09,Chamoli
10.2,15.4,5.2,59,0.0,0.0,3,2004-01-10,Chamoli
10.1,13.6,6.9,68,1.1,1.1,51,2004-01-11,Chamoli
11.0,14.5,8.1,74,1.5,1.5,51,2004-01-12,Chamoli
10.0,12.2,8.6,89,5.0,5.0,51,2004-01-13,Chamoli
9.9,12.4,7.8,83,0.8,0.8,51,2004-01-14,Chamoli
11.3,14.5,8.5,76,0.1,0.1,51,2004-01-15,Chamoli
12.4,15.3,10.6,75,0.3,0.3,51,2004-01-16,Chamoli
9.2,15.9,2.4,67,2.3,2.0,71,2004-01-17,Chamoli
8.3,11.0,6.4,80,7.6,6.6,71,2004-01-18,Chamoli
9.7,14.5,5.4,59,0.0,0.0,3,2004-01-19,Chamoli
9.7,15.4,4.1,52,0.3,0.3,51,2004-01-20,Chamoli
7.9,9.5,5.2,76,11.9,10.5,71,2004-01-21,Chamoli
7.8,14.0,0.9,56,2.4,2.4,53,2004-01-22,Chamoli
5.4,7.4,4.1,82,36.2,26.1,73,2004-01-23,Chamoli
4.3,6.4,1.6,73,12.1,6.2,73,2004-01-24,Chamoli
4.0,8.4,-0.5,55,0.1,0.0,71,2004-01-25,Chamoli
4.0,6.7,0.6,62,0.1,0.0,71,2004-01-26,Chamoli
5.4,8.6,1.9,70,2.4,0.0,71,2004-01-27,Chamoli
7.2,11.0,4.2,67,0.2,0.0,71,2004-01-28,Chamoli
5.4,10.9,0.7,62,4.0,4.0,61,2004-01-29,Chamoli
4.5,7.6,0.8,74,9.4,8.0,71,2004-01-30,Chamoli
4.7,6.8,3.0,80,15.8,11.4,73,2004-01-31,Chamoli
3.8,8.9,-3.1,70,8.1,7.9,71,2004-02-01,Chamoli
3.9,9.1,-4.1,62,0.5,0.5,71,2004-02-02,Chamoli
6.2,11.8,1.1,53,0.0,0.0,71,2004-02-03,Chamoli
6.4,12.1,0.3,50,0.0,0.0,1,2004-02-04,Chamoli
5.7,8.5,1.7,68,1.3,0.1,71,2004-02-05,Chamoli
6.1,7.9,4.0,79,3.7,0.8,71,2004-02-06,Chamoli
9.1,13.3,4.6,68,4.2,3.5,71,2004-02-07,Chamoli
9.3,14.2,4.0,60,0.0,0.0,2,2004-02-08,Chamoli
9.5,14.8,3.9,66,1.9,1.8,71,2004-02-09,Chamoli
9.1,13.9,4.5,63,1.5,1.3,71,2004-02-10,Chamoli
8.9,14.9,3.2,48,0.0,0.0,1,2004-02-11,Chamoli
11.4,17.3,6.0,31,0.0,0.0,0,2004-02-12,Chamoli
10.0,16.1,3.7,40,0.0,0.0,1,2004-02-13,Chamoli
8.5,12.9,2.2,60,0.7,0.7,51,2004-02-14,Chamoli
10.3,14.2,4.7,65,3.6,3.6,53,2004-02-15,Chamoli
11.9,17.4,4.9,59,1.3,1.3,51,2004-02-16,Chamoli
12.0,17.3,6.9,54,0.0,0.0,3,2004-02-17,Chamoli
9.4,13.5,7.3,68,9.9,9.1,71,2004-02-18,Chamoli
9.4,12.3,6.8,72,3.8,2.7,71,2004-02-19,Chamoli
11.5,16.4,7.0,46,0.0,0.0,0,2004-02-20,Chamoli
10.8,18.7,2.8,49,0.0,0.0,2,2004-02-21,Chamoli
10.2,16.8,3.8,58,0.0,0.0,1,2004-02-22,Chamoli
11.5,20.3,2.7,48,0.0,0.0,0,2004-02-23,Chamoli
11.9,20.3,3.8,46,0.0,0.0,0,2004-02-24,Chamoli
12.8,21.9,3.3,49,0.0,0.0,3,2004-02-25,Chamoli
13.0,20.6,5.5,51,0.0,0.0,3,2004-02-26,Chamoli
11.3,18.6,4.8,55,1.2,1.2,51,2004-02-27,Chamoli
10.5,17.7,1.6,56,0.1,0.1,51,2004-02-28,Chamoli
11.3,18.2,4.0,49,0.0,0.0,1,2004-02-29,Chamoli
11.7,19.1,4.7,49,0.0,0.0,0,2004-03-01,Chamoli
12.2,20.3,3.3,45,0.0,0.0,0,2004-03-02,Chamoli
12.5,21.0,3.2,47,0.0,0.0,0,2004-03-03,Chamoli
12.7,20.9,4.1,43,0.0,0.0,1,2004-03-04,Chamoli
12.4,19.9,4.2,43,0.0,0.0,1,2004-03-05,Chamoli
11.8,17.5,5.0,41,0.0,0.0,3,2004-03-06,Chamoli
14.5,22.7,4.7,33,0.0,0.0,1,2004-03-07,Chamoli
14.5,21.5,5.3,49,0.0,0.0,1,2004-03-08,Chamoli
15.0,18.1,12.8,71,0.3,0.3,51,2004-03-09,Chamoli
16.2,20.3,12.6,54,0.0,0.0,2,2004-03-10,Chamoli
14.4,18.4,10.1,62,0.9,0.9,51,2004-03-11,Chamoli
14.5,19.6,9.5,61,0.0,0.0,2,2004-03-12,Chamoli
15.1,21.2,8.7,53,0.0,0.0,2,2004-03-13,Chamoli
16.1,22.5,8.8,51,0.0,0.0,3,2004-03-14,Chamoli
16.0,23.2,8.0,56,0.5,0.5,51,2004-03-15,Chamoli
17.4,23.5,10.3,53,0.0,0.0,0,2004-03-16,Chamoli
18.7,26.3,9.5,44,0.0,0.0,0,2004-03-17,Chamoli
17.8,25.2,9.0,49,0.0,0.0,1,2004-03-18,Chamoli
18.7,23.5,14.6,49,0.0,0.0,1,2004-03-19,Chamoli
19.1,26.4,12.1,47,0.0,0.0,1,2004-03-20,Chamoli
18.0,24.6,9.3,47,0.0,0.0,2,2004-03-21,Chamoli
16.4,22.3,9.2,56,0.0,0.0,3,2004-03-22,Chamoli
18.1,23.5,12.2,46,0.0,0.0,3,2004-03-23,Chamoli
