temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
12.5,21.0,5.1,70,0.0,0.0,3,1997-01-01,Dehradun
11.7,19.6,4.7,69,0.0,0.0,1,1997-01-02,Dehradun
11.1,18.5,4.0,74,0.0,0.0,3,1997-01-03,Dehradun
11.4,17.5,5.3,77,0.0,0.0,3,1997-01-04,Dehradun
11.0,17.3,4.8,76,0.0,0.0,2,1997-01-05,Dehradun
10.3,17.9,2.9,73,0.0,0.0,0,1997-01-06,Dehradun
10.2,18.0,2.5,69,0.0,0.0,0,1997-01-07,Dehradun
10.5,18.5,2.6,68,0.0,0.0,0,1997-01-08,Dehradun
10.4,19.6,2.1,65,0.0,0.0,3,1997-01-09,Dehradun
10.5,18.3,2.4,63,0.0,0.0,3,1997-01-10,Dehradun
9.9,17.3,2.2,68,0.0,0.0,0,1997-01-11,Dehradun
9.7,17.5,2.2,71,0.0,0.0,0,1997-01-12,Dehradun
9.6,17.7,1.9,71,0.0,0.0,0,1997-01-13,Dehradun
9.7,17.6,1.7,71,0.0,0.0,0,1997-01-14,Dehradun
9.7,16.7,2.3,72,0.0,0.0,1,1997-01-15,Dehradun
9.9,16.8,2.4,66,0.0,0.0,3,1997-01-16,Dehradun
9.5,17.0,2.3,68,0.0,0.0,3,1997-01-17,Dehradun
10.0,17.3,3.1,72,0.0,0.0,3,1997-01-18,Dehradun
9.1,11.4,7.7,89,25.8,25.8,63,1997-01-19,Dehradun
7.2,9.7,2.8,89,8.4,8.2,71,1997-01-20,Dehradun
5.9,11.8,0.4,81,0.3,0.3,51,1997-01-21,Dehradun
6.0,12.9,-1.3,75,0.0,0.0,2,1997-01-22,Dehradun
6.5,13.9,-1.5,73,0.0,0.0,3,1997-01-23,Dehradun
7.7,14.3,-0.1,74,0.0,0.0,1,1997-01-24,Dehradun
7.4,16.0,-1.1,72,0.0,0.0,1,1997-01-25,Dehradun
8.4,16.8,-0.2,69,0.0,0.0,3,1997-01-26,Dehradun
10.0,14.5,4.9,76,1.3,1.3,53,1997-01-27,Dehradun
9.7,17.4,2.5,73,0.0,0.0,0,1997-01-28,Dehradun
9.9,17.4,1.9,75,0.0,0.0,3,1997-01-29,Dehradun
10.7,17.1,3.4,75,0.0,0.0,3,1997-01-30,Dehradun
9.9,17.1,1.9,73,0.0,0.0,0,1997-01-31,Dehradun
9.4,16.4,1.4,75,0.0,0.0,2,1997-02-01,Dehradun
9.6,15.1,5.4,83,4.7,4.7,55,1997-02-02,Dehradun
9.5,13.9,5.3,87,5.2,5.2,53,1997-02-03,Dehradun
9.2,15.2,1.8,77,0.6,0.6,51,1997-02-04,Dehradun
8.9,15.2,1.0,74,0.0,0.0,1,1997-02-05,Dehradun
8.9,15.3,1.1,70,0.0,0.0,0,1997-02-06,Dehradun
8.8,16.8,-0.4,64,0.0,0.0,0,1997-02-07,Dehradun
9.4,18.6,0.7,66,3.7,3.7,53,1997-02-08,Dehradun
11.2,17.4,5.8,73,2.2,2.2,51,1997-02-09,Dehradun
10.7,15.5,6.6,83,6.0,6.0,53,1997-02-10,Dehradun
10.0,16.7,2.9,62,0.0,0.0,0,1997-02-11,Dehradun
9.8,17.9,0.4,61,0.0,0.0,0,1997-02-12,Dehradun
11.0,19.6,2.2,66,0.0,0.0,3,1997-02-13,Dehradun
12.1,20.2,3.3,64,0.0,0.0,0,1997-02-14,Dehradun
11.8,19.3,3.3,62,0.0,0.0,3,1997-02-15,Dehradun
11.4,18.2,3.1,60,0.0,0.0,0,1997-02-16,Dehradun
11.8,19.1,2.8,60,0.0,0.0,0,1997-02-17,Dehradun
11.4,18.9,3.6,60,0.0,0.0,3,1997-02-18,Dehradun
