temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
10.0,17.1,3.6,80,0.0,0.0,3,2002-01-01,Haridwar
10.5,18.2,3.3,79,0.0,0.0,2,2002-01-02,Haridwar
11.8,20.1,4.3,75,0.0,0.0,0,2002-01-03,Haridwar
12.7,20.5,5.6,77,0.0,0.0,2,2002-01-04,Haridwar
13.5,21.0,6.7,78,0.0,0.0,2,2002-01-05,Haridwar
13.6,20.5,6.7,80,0.0,0.0,3,2002-01-06,Haridwar
14.0,20.9,7.6,77,0.0,0.0,3,2002-01-07,Haridwar
14.2,22.9,6.6,69,0.0,0.0,0,2002-01-08,Haridwar
13.0,21.6,5.2,69,0.0,0.0,0,2002-01-09,Haridwar
12.2,19.4,5.9,74,0.0,0.0,3,2002-01-10,Haridwar
13.0,19.7,6.5,73,0.0,0.0,0,2002-01-11,Haridwar
12.4,19.3,5.2,76,0.0,0.0,3,2002-01-12,Haridwar
14.6,20.3,8.3,73,0.0,0.0,3,2002-01-13,Haridwar
16.0,22.6,11.4,70,0.5,0.5,51,2002-01-14,Haridwar
14.7,19.0,12.0,78,12.3,12.3,61,2002-01-15,Haridwar
14.7,20.0,9.7,81,0.8,0.8,51,2002-01-16,Haridwar
13.8,19.6,8.0,77,0.7,0.7,51,2002-01-17,Haridwar
13.3,17.8,9.9,81,3.9,3.9,53,2002-01-18,Haridwar
12.6,18.1,6.6,82,1.0,1.0,51,2002-01-19,Haridwar
12.2,18.4,7.3,79,0.9,0.9,51,2002-01-20,Haridwar
11.9,18.8,4.9,74,0.0,0.0,0,2002-01-21,Haridwar
13.1,19.1,8.1,77,0.0,0.0,1,2002-01-22,Haridwar
13.2,18.7,8.1,77,0.1,0.1,51,2002-01-23,Haridwar
12.5,18.2,7.1,70,0.0,0.0,3,2002-01-24,Haridwar
11.9,19.8,3.4,68,0.0,0.0,2,2002-01-25,Haridwar
12.7,19.0,6.0,69,0.3,0.3,51,2002-01-26,Haridwar
10.5,14.0,6.4,85,8.0,8.0,61,2002-01-27,Haridwar
10.6,17.3,3.2,76,0.0,0.0,1,2002-01-28,Haridwar
11.8,18.2,4.5,74,0.1,0.1,51,2002-01-29,Haridwar
12.1,19.3,4.3,71,0.0,0.0,0,2002-01-30,Haridwar
12.0,19.4,4.1,66,0.0,0.0,0,2002-01-31,Haridwar
12.2,20.4,3.9,66,0.0,0.0,0,2002-02-01,Haridwar
12.6,20.9,4.2,65,0.0,0.0,2,2002-02-02,Haridwar
13.6,20.1,7.7,58,0.0,0.0,0,2002-02-03,Haridwar
12.8,20.2,5.6,66,0.0,0.0,2,2002-02-04,Haridwar
13.4,20.2,6.1,66,1.6,1.6,51,2002-02-05,Haridwar
14.9,22.0,9.1,67,1.4,1.4,51,2002-02-06,Haridwar
14.9,21.8,11.0,74,9.4,9.4,61,2002-02-07,Haridwar
14.9,22.2,9.5,80,12.3,12.3,61,2002-02-08,Haridwar
14.1,18.5,10.2,79,14.8,14.8,63,2002-02-09,Haridwar
13.7,21.0,6.0,79,0.0,0.0,3,2002-02-10,Haridwar
13.8,17.2,11.8,87,32.6,32.6,63,2002-02-11,Haridwar
13.8,18.4,9.6,83,2.9,2.9,55,2002-02-12,Haridwar
13.8,21.1,6.6,75,0.0,0.0,1,2002-02-13,Haridwar
14.2,21.0,7.0,76,0.0,0.0,0,2002-02-14,Haridwar
14.9,21.7,8.0,77,0.0,0.0,3,2002-02-15,Haridwar
16.2,22.2,9.9,80,0.0,0.0,3,2002-02-16,Haridwar
