temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
4.8,8.4,2.1,91,8.4,8.4,61,1985-01-01,Nainital
4.7,10.2,0.6,80,0.9,0.9,53,1985-01-02,Nainital
4.7,10.9,-0.8,73,0.0,0.0,3,1985-01-03,Nainital
6.0,11.8,1.3,73,2.2,2.2,53,1985-01-04,Nainital
4.1,7.7,1.5,86,12.6,12.4,71,1985-01-05,Nainital
4.8,9.9,0.6,74,0.1,0.1,51,1985-01-06,Nainital
4.6,9.7,-0.1,74,0.0,0.0,3,1985-01-07,Nainital
5.6,11.0,0.8,67,0.4,0.4,51,1985-01-08,Nainital
5.3,11.4,0.7,67,0.0,0.0,3,1985-01-09,Nainital
5.8,12.8,-0.3,65,0.0,0.0,3,1985-01-10,Nainital
5.5,12.1,-0.3,61,0.0,0.0,2,1985-01-11,Nainital
5.5,11.8,0.3,59,0.0,0.0,3,1985-01-12,Nainital
5.4,11.9,-0.3,63,0.0,0.0,0,1985-01-13,Nainital
5.8,12.4,0.1,64,0.0,0.0,3,1985-01-14,Nainital
5.4,11.0,0.5,65,0.0,0.0,3,1985-01-15,Nainital
6.5,13.9,-0.4,53,0.0,0.0,3,1985-01-16,Nainital
7.0,13.5,1.1,58,0.0,0.0,3,1985-01-17,Nainital
7.3,12.7,3.1,67,0.0,0.0,3,1985-01-18,Nainital
6.0,9.6,3.7,74,3.2,3.2,53,1985-01-19,Nainital
6.3,12.8,0.3,69,0.0,0.0,3,1985-01-20,Nainital
5.2,10.4,2.2,84,9.8,9.8,61,1985-01-21,Nainital
5.7,11.3,0.3,75,0.0,0.0,2,1985-01-22,Nainital
6.5,12.9,0.8,73,0.0,0.0,0,1985-01-23,Nainital
7.3,14.1,1.4,74,0.0,0.0,0,1985-01-24,Nainital
7.8,14.2,2.1,73,0.0,0.0,3,1985-01-25,Nainital
7.6,12.5,4.8,77,3.5,3.5,53,1985-01-26,Nainital
6.5,11.9,1.9,64,0.2,0.2,51,1985-01-27,Nainital
6.4,12.4,1.1,58,0.0,0.0,3,1985-01-28,Nainital
7.1,12.8,2.1,61,0.0,0.0,3,1985-01-29,Nainital
7.2,13.7,1.6,65,0.3,0.3,51,1985-01-30,Nainital
7.8,13.7,2.7,64,0.0,0.0,3,1985-01-31,Nainital
6.9,13.5,1.7,68,0.2,0.2,51,1985-02-01,Nainital
6.9,13.7,0.6,65,0.0,0.0,3,1985-02-02,Nainital
7.9,14.5,2.3,62,0.0,0.0,2,1985-02-03,Nainital
7.9,13.9,2.8,65,3.3,3.3,53,1985-02-04,Nainital
6.4,11.2,2.2,78,3.0,3.0,53,1985-02-05,Nainital
6.4,12.2,0.6,69,0.0,0.0,1,1985-02-06,Nainital
7.0,13.5,0.7,64,0.0,0.0,0,1985-02-07,Nainital
7.9,14.9,1.0,54,0.0,0.0,0,1985-02-08,Nainital
8.1,14.4,1.9,48,0.0,0.0,0,1985-02-09,Nainital
7.5,14.7,0.1,48,0.0,0.0,0,1985-02-10,Nainital
7.6,14.6,1.1,53,0.0,0.0,0,1985-02-11,Nainital
7.8,15.0,1.4,54,0.0,0.0,0,1985-02-12,Nainital
7.7,14.1,1.9,55,0.2,0.2,51,1985-02-13,Nainital
7.7,14.1,1.6,53,0.0,0.0,1,1985-02-14,Nainital
7.7,14.0,1.4,53,0.0,0.0,2,1985-02-15,Nainital
7.7,14.6,0.9,52,0.0,0.0,1,1985-02-16,Nainital
8.8,16.0,1.9,48,0.0,0.0,0,1985-02-17,Nainital
9.9,17.8,2.1,45,0.0,0.0,0,1985-02-18,Nainital
11.1,18.9,2.4,36,0.0,0.0,0,1985-02-19,Nainital
11.2,16.9,5.7,37,0.0,0.0,0,1985-02-20,Nainital
9.8,16.9,3.1,45,0.0,0.0,0,1985-02-21,Nainital
11.5,20.3,3.4,46,0.0,0.0,0,1985-02-22,Nainital
12.0,19.9,4.2,46,0.0,0.0,0,1985-02-23,Nainital
12.5,20.0,5.5,36,0.0,0.0,0,1985-02-24,Nainital
12.5,20.8,4.4,33,0.0,0.0,0,1985-02-25,Nainital
13.1,21.8,4.6,37,0.0,0.0,0,1985-02-26,Nainital
13.1,20.9,5.6,40,0.0,0.0,0,1985-02-27,Nainital
14.5,22.5,6.1,36,0.0,0.0,0,1985-02-28,Nainital
15.3,23.9,6.7,33,0.0,0.0,0,1985-03-01,Nainital
15.2,23.6,6.8,34,0.0,0.0,3,1985-03-02,Nainital
16.1,24.8,7.7,35,0.0,0.0,2,1985-03-03,Nainital
17.0,26.5,7.9,28,0.0,0.0,2,1985-03-04,Nainital
16.7,24.6,9.9,33,0.0,0.0,3,1985-03-05,Nainital
17.3,24.8,10.0,34,0.0,0.0,2,1985-03-06,Nainital
15.9,22.7,8.5,30,0.0,0.0,0,1985-03-07,Nainital
15.3,23.3,7.4,25,0.0,0.0,3,1985-03-08,Nainital
16.4,23.8,10.5,25,0.0,0.0,3,1985-03-09,Nainital
16.1,23.8,9.8,26,0.0,0.0,3,1985-03-10,Nainital
15.6,23.2,8.1,25,0.0,0.0,3,1985-03-11,Nainital
16.2,23.7,8.7,26,0.0,0.0,2,1985-03-12,Nainital
16.2,23.7,9.1,27,0.0,0.0,0,1985-03-13,Nainital
15.5,23.5,7.5,22,0.0,0.0,0,1985-03-14,Nainital
15.4,23.1,8.1,21,0.0,0.0,2,1985-03-15,Nainital
16.3,23.8,10.0,21,0.0,0.0,2,1985-03-16,Nainital
15.9,22.5,9.8,27,0.0,0.0,2,1985-03-17,Nainital
12.5,17.4,7.8,31,2.1,2.1,53,1985-03-18,Nainital
13.3,20.3,6.1,29,0.0,0.0,0,1985-03-19,Nainital
14.3,21.7,6.4,29,0.0,0.0,1,1985-03-20,Nainital
15.4,22.9,7.1,31,0.0,0.0,0,1985-03-21,Nainital
16.4,23.2,9.1,32,0.0,0.0,3,1985-03-22,Nainital
15.3,20.9,10.2,39,1.0,1.0,51,1985-03-23,Nainital
14.0,20.2,9.4,63,5.5,5.5,61,1985-03-24,Nainital
14.7,20.7,8.2,59,0.0,0.0,1,1985-03-25,Nainital
16.3,23.2,8.8,49,0.0,0.0,3,1985-03-26,Nainital
17.3,24.7,10.3,47,0.0,0.0,3,1985-03-27,Nainital
18.2,25.1,11.6,41,0.1,0.1,51,1985-03-28,Nainital
17.2,24.0,10.8,41,0.7,0.7,53,1985-03-29,Nainital
16.1,22.0,10.5,42,0.4,0.4,51,1985-03-30,Nainital
16.4,23.4,9.0,40,0.0,0.0,0,1985-03-31,Nainital
17.5,23.9,10.2,35,0.0,0.0,3,1985-04-01,Nainital
17.5,24.2,10.8,38,0.0,0.0,3,1985-04-02,Nainital
14.3,21.6,10.3,58,6.6,6.6,61,1985-04-03,Nainital
14.7,20.9,8.0,52,0.2,0.2,51,1985-04-04,Nainital
15.7,22.9,8.6,43,0.3,0.3,51,1985-04-05,Nainital
16.4,23.0,9.6,42,0.2,0.2,51,1985-04-06,Nainital
16.7,23.2,10.3,41,0.0,0.0,2,1985-04-07,Nainital
16.8,23.3,10.2,44,0.0,0.0,3,1985-04-08,Nainital
15.6,22.7,10.3,54,11.9,11.9,63,1985-04-09,Nainital
14.4,19.8,9.4,61,2.5,2.5,55,1985-04-10,Nainital
16.2,23.7,8.9,56,0.0,0.0,3,1985-04-11,Nainital
18.5,26.3,11.0,50,0.0,0.0,3,1985-04-12,Nainital
19.1,26.4,13.2,40,1.7,1.7,51,1985-04-13,Nainital
16.9,22.9,10.5,45,0.1,0.1,51,1985-04-14,Nainital
16.0,22.4,10.3,51,3.1,3.1,61,1985-04-15,Nainital
17.4,24.4,9.7,45,0.0,0.0,0,1985-04-16,Nainital
19.0,26.1,10.8,42,0.0,0.0,1,1985-04-17,Nainital
20.3,27.6,11.8,34,0.0,0.0,1,1985-04-18,Nainital
21.4,28.8,13.0,29,0.0,0.0,0,1985-04-19,Nainital
22.2,30.0,13.6,27,0.0,0.0,0,1985-04-20,Nainital
23.3,30.8,14.8,26,0.0,0.0,0,1985-04-21,Nainital
22.9,29.7,15.9,26,0.0,0.0,0,1985-04-22,Nainital
21.8,28.1,15.8,26,0.4,0.4,51,1985-04-23,Nainital
19.8,26.8,13.5,30,0.9,0.9,53,1985-04-24,Nainital
20.1,26.5,13.2,27,0.0,0.0,3,1985-04-25,Nainital
20.6,27.3,13.4,24,0.0,0.0,3,1985-04-26,Nainital
20.9,27.5,13.2,24,0.0,0.0,3,1985-04-27,Nainital
21.4,27.7,13.9,23,0.0,0.0,3,1985-04-28,Nainital
21.4,27.4,15.3,29,0.0,0.0,2,1985-04-29,Nainital
21.6,27.5,15.6,33,0.4,0.4,51,1985-04-30,Nainital
21.1,27.8,15.6,36,0.2,0.2,51,1985-05-01,Nainital
17.8,24.3,12.7,52,7.5,7.5,61,1985-05-02,Nainital
19.1,25.9,11.3,38,0.0,0.0,3,1985-05-03,Nainital
19.2,25.6,13.0,37,0.2,0.2,51,1985-05-04,Nainital
19.1,25.9,11.6,39,0.0,0.0,2,1985-05-05,Nainital
20.4,27.1,12.8,35,0.0,0.0,2,1985-05-06,Nainital
