temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
10.2,16.2,5.8,57,0.0,0.0,3,2016-01-01,Pithoragarh
9.9,15.7,4.6,70,0.0,0.0,2,2016-01-02,Pithoragarh
9.9,15.4,5.3,69,0.0,0.0,2,2016-01-03,Pithoragarh
10.1,15.8,4.9,76,0.0,0.0,3,2016-01-04,Pithoragarh
10.8,15.1,7.8,76,1.4,1.4,53,2016-01-05,Pithoragarh
10.4,14.7,7.1,68,0.0,0.0,3,2016-01-06,Pithoragarh
10.4,15.0,6.9,60,0.0,0.0,3,2016-01-07,Pithoragarh
8.7,13.3,5.1,60,1.8,1.8,55,2016-01-08,Pithoragarh
8.6,14.5,3.9,63,0.0,0.0,1,2016-01-09,Pithoragarh
9.2,15.1,4.2,70,0.0,0.0,3,2016-01-10,Pithoragarh
9.6,13.4,6.6,76,0.0,0.0,2,2016-01-11,Pithoragarh
9.6,13.8,6.6,79,0.0,0.0,2,2016-01-12,Pithoragarh
8.8,13.8,5.2,73,0.9,0.9,51,2016-01-13,Pithoragarh
8.6,13.8,4.0,67,0.0,0.0,3,2016-01-14,Pithoragarh
9.4,14.4,5.5,68,0.9,0.9,53,2016-01-15,Pithoragarh
9.7,15.6,5.7,64,0.0,0.0,1,2016-01-16,Pithoragarh
8.8,14.9,4.1,73,0.0,0.0,2,2016-01-17,Pithoragarh
9.0,15.2,5.2,71,0.0,0.0,1,2016-01-18,Pithoragarh
6.8,12.0,3.9,75,4.9,4.9,55,2016-01-19,Pithoragarh
5.2,8.3,2.0,83,5.1,5.1,53,2016-01-20,Pithoragarh
7.2,11.6,3.8,78,0.0,0.0,3,2016-01-21,Pithoragarh
8.0,12.3,4.8,77,0.0,0.0,2,2016-01-22,Pithoragarh
8.4,13.9,3.5,76,0.0,0.0,2,2016-01-23,Pithoragarh
8.4,13.0,5.1,76,0.3,0.3,51,2016-01-24,Pithoragarh
7.4,11.1,4.8,77,0.0,0.0,2,2016-01-25,Pithoragarh
7.3,11.0,4.9,72,0.4,0.4,51,2016-01-26,Pithoragarh
8.0,12.6,4.2,71,0.0,0.0,2,2016-01-27,Pithoragarh
9.7,14.1,6.1,65,0.0,0.0,2,2016-01-28,Pithoragarh
9.8,14.1,5.6,70,0.0,0.0,3,2016-01-29,Pithoragarh
11.2,15.3,7.6,68,0.0,0.0,3,2016-01-30,Pithoragarh
10.6,15.0,7.7,73,0.0,0.0,3,2016-01-31,Pithoragarh
9.8,15.6,4.5,60,0.0,0.0,0,2016-02-01,Pithoragarh
9.6,16.3,2.9,61,0.0,0.0,3,2016-02-02,Pithoragarh
10.1,17.6,3.0,65,0.0,0.0,0,2016-02-03,Pithoragarh
11.2,19.3,3.8,68,0.0,0.0,2,2016-02-04,Pithoragarh
13.1,21.9,6.0,67,0.0,0.0,2,2016-02-05,Pithoragarh
12.5,19.8,6.9,72,0.0,0.0,3,2016-02-06,Pithoragarh
9.5,14.0,6.9,85,15.7,15.7,61,2016-02-07,Pithoragarh
9.2,13.9,4.6,77,2.1,2.1,53,2016-02-08,Pithoragarh
10.5,14.2,7.2,74,0.0,0.0,1,2016-02-09,Pithoragarh
10.4,15.5,6.1,80,2.0,2.0,53,2016-02-10,Pithoragarh
8.3,13.4,3.8,76,1.8,1.8,53,2016-02-11,Pithoragarh
9.3,15.0,4.7,56,0.0,0.0,3,2016-02-12,Pithoragarh
9.4,15.1,3.7,59,0.0,0.0,1,2016-02-13,Pithoragarh
10.1,16.5,3.5,54,0.0,0.0,0,2016-02-14,Pithoragarh
10.3,16.2,4.7,65,0.0,0.0,3,2016-02-15,Pithoragarh
11.5,17.8,6.2,57,0.0,0.0,3,2016-02-16,Pithoragarh
12.2,19.7,5.3,50,0.0,0.0,2,2016-02-17,Pithoragarh
12.3,20.0,4.9,55,0.0,0.0,3,2016-02-18,Pithoragarh
15.1,20.9,9.7,52,0.0,0.0,3,2016-02-19,Pithoragarh
12.8,15.6,10.0,81,7.7,7.7,53,2016-02-20,Pithoragarh
13.2,19.6,8.1,77,0.0,0.0,3,2016-02-21,Pithoragarh
14.0,20.8,7.3,67,0.0,0.0,1,2016-02-22,Pithoragarh
13.2,17.5,10.1,72,1.5,1.5,53,2016-02-23,Pithoragarh
12.4,17.7,8.8,71,0.5,0.5,51,2016-02-24,Pithoragarh
12.8,19.2,7.7,62,0.0,0.0,1,2016-02-25,Pithoragarh
12.1,17.0,8.5,68,3.9,3.9,61,2016-02-26,Pithoragarh
11.7,16.7,7.5,73,1.0,1.0,53,2016-02-27,Pithoragarh
12.2,17.8,7.9,73,4.0,4.0,61,2016-02-28,Pithoragarh
11.6,16.7,7.5,76,4.5,4.5,61,2016-02-29,Pithoragarh
12.2,18.1,7.6,68,0.0,0.0,1,2016-03-01,Pithoragarh
13.4,20.2,7.5,60,0.7,0.7,51,2016-03-02,Pithoragarh
14.0,20.3,7.9,60,0.0,0.0,2,2016-03-03,Pithoragarh
14.1,21.6,8.9,54,0.3,0.3,51,2016-03-04,Pithoragarh
13.5,20.6,7.9,60,1.8,1.8,55,2016-03-05,Pithoragarh
11.9,18.2,8.0,77,3.1,3.1,55,2016-03-06,Pithoragarh
12.6,19.8,7.4,66,2.1,2.1,53,2016-03-07,Pithoragarh
13.5,19.8,8.5,57,1.5,1.5,53,2016-03-08,Pithoragarh
13.9,21.2,6.5,49,0.0,0.0,3,2016-03-09,Pithoragarh
15.1,22.0,8.5,53,0.6,0.6,53,2016-03-10,Pithoragarh
14.8,21.0,10.0,56,1.2,1.2,53,2016-03-11,Pithoragarh
13.4,19.5,10.0,67,4.6,4.6,61,2016-03-12,Pithoragarh
11.4,17.4,8.1,83,6.1,6.1,53,2016-03-13,Pithoragarh
10.5,16.1,6.9,81,8.3,8.3,61,2016-03-14,Pithoragarh
11.3,17.2,5.2,70,2.1,2.1,55,2016-03-15,Pithoragarh
13.1,20.5,6.4,55,0.0,0.0,3,2016-03-16,Pithoragarh
13.8,19.5,8.1,58,0.7,0.7,53,2016-03-17,Pithoragarh
13.7,19.7,7.9,62,0.5,0.5,51,2016-03-18,Pithoragarh
14.2,20.2,8.4,63,3.4,3.4,61,2016-03-19,Pithoragarh
14.1,20.5,8.2,60,1.6,1.6,53,2016-03-20,Pithoragarh
14.1,20.2,8.4,52,0.0,0.0,1,2016-03-21,Pithoragarh
15.0,22.2,7.8,47,0.0,0.0,1,2016-03-22,Pithoragarh
16.7,25.3,8.7,45,0.0,0.0,1,2016-03-23,Pithoragarh
17.8,25.0,10.8,54,0.0,0.0,3,2016-03-24,Pithoragarh
18.5,25.4,11.1,60,0.0,0.0,3,2016-03-25,Pithoragarh
18.9,25.1,13.8,52,2.2,2.2,55,2016-03-26,Pithoragarh
15.8,21.3,11.3,61,4.3,4.3,55,2016-03-27,Pithoragarh
14.5,21.2,7.1,66,0.0,0.0,3,2016-03-28,Pithoragarh
16.3,23.2,9.1,59,2.5,2.5,53,2016-03-29,Pithoragarh
15.4,21.4,11.5,67,10.4,10.4,63,2016-03-30,Pithoragarh
15.8,21.8,10.3,65,0.0,0.0,3,2016-03-31,Pithoragarh
18.1,24.4,12.3,56,0.0,0.0,3,2016-04-01,Pithoragarh
19.4,25.0,14.3,59,0.0,0.0,3,2016-04-02,Pithoragarh
20.9,27.6,15.8,54,0.3,0.3,51,2016-04-03,Pithoragarh
19.5,26.8,14.9,52,3.4,3.4,61,2016-04-04,Pithoragarh
19.1,25.7,13.6,50,0.0,0.0,3,2016-04-05,Pithoragarh
17.2,21.4,13.3,52,0.9,0.9,51,2016-04-06,Pithoragarh
15.8,23.3,10.4,58,1.2,1.2,51,2016-04-07,Pithoragarh
16.4,23.7,9.2,58,1.3,1.3,53,2016-04-08,Pithoragarh
18.2,25.8,10.4,40,0.0,0.0,3,2016-04-09,Pithoragarh
19.7,26.4,12.5,33,0.0,0.0,3,2016-04-10,Pithoragarh
19.2,25.6,13.5,38,0.2,0.2,51,2016-04-11,Pithoragarh
19.5,26.9,11.9,36,0.0,0.0,1,2016-04-12,Pithoragarh
19.3,27.2,12.0,38,1.0,1.0,55,2016-04-13,Pithoragarh
19.3,26.5,12.3,33,0.0,0.0,1,2016-04-14,Pithoragarh
20.7,28.1,12.7,34,0.0,0.0,3,2016-04-15,Pithoragarh
21.3,28.1,14.8,36,0.3,0.3,51,2016-04-16,Pithoragarh
21.6,28.4,15.6,40,1.1,1.1,51,2016-04-17,Pithoragarh
19.5,26.1,14.5,53,6.4,6.4,61,2016-04-18,Pithoragarh
19.8,27.2,14.4,53,1.2,1.2,53,2016-04-19,Pithoragarh
21.1,28.0,14.8,42,1.5,1.5,53,2016-04-20,Pithoragarh
21.5,28.9,14.2,34,0.0,0.0,1,2016-04-21,Pithoragarh
20.0,26.8,14.6,38,3.1,3.1,53,2016-04-22,Pithoragarh
18.4,24.2,12.6,37,0.0,0.0,2,2016-04-23,Pithoragarh
18.1,24.5,11.3,32,0.0,0.0,1,2016-04-24,Pithoragarh
19.2,26.8,11.9,29,0.0,0.0,3,2016-04-25,Pithoragarh
20.4,28.0,12.7,28,0.0,0.0,1,2016-04-26,Pithoragarh
20.4,27.6,13.2,27,0.4,0.4,51,2016-04-27,Pithoragarh
20.2,27.1,12.4,26,0.0,0.0,2,2016-04-28,Pithoragarh
19.7,26.5,12.8,28,0.5,0.5,51,2016-04-29,Pithoragarh
20.0,27.0,12.6,26,0.0,0.0,3,2016-04-30,Pithoragarh
21.3,28.8,13.1,29,0.0,0.0,2,2016-05-01,Pithoragarh
21.8,29.1,14.9,36,0.3,0.3,51,2016-05-02,Pithoragarh
20.7,27.6,15.4,41,3.3,3.3,63,2016-05-03,Pithoragarh
19.5,25.4,14.5,54,12.4,12.4,61,2016-05-04,Pithoragarh
18.6,24.5,13.7,55,7.1,7.1,63,2016-05-05,Pithoragarh
18.6,24.4,14.2,57,10.6,10.6,63,2016-05-06,Pithoragarh
18.4,23.6,14.1,62,8.1,8.1,61,2016-05-07,Pithoragarh
19.0,23.4,15.3,62,0.2,0.2,51,2016-05-08,Pithoragarh
19.0,24.4,15.6,67,6.2,6.2,55,2016-05-09,Pithoragarh
19.8,24.5,15.9,64,1.7,1.7,53,2016-05-10,Pithoragarh
19.9,25.9,14.1,64,6.7,6.7,61,2016-05-11,Pithoragarh
19.0,23.3,15.2,70,18.8,18.8,63,2016-05-12,Pithoragarh
19.5,24.4,15.8,67,14.7,14.7,63,2016-05-13,Pithoragarh
21.1,27.3,15.2,61,2.2,2.2,55,2016-05-14,Pithoragarh
21.5,28.0,15.6,54,4.7,4.7,61,2016-05-15,Pithoragarh
22.0,29.0,14.9,45,0.0,0.0,2,2016-05-16,Pithoragarh
22.2,28.1,15.4,40,0.2,0.2,51,2016-05-17,Pithoragarh
23.1,29.8,15.4,38,0.0,0.0,1,2016-05-18,Pithoragarh
22.3,26.8,17.9,50,7.8,7.8,63,2016-05-19,Pithoragarh
21.3,26.7,16.7,62,2.8,2.8,55,2016-05-20,Pithoragarh
20.4,24.5,17.7,70,4.8,4.8,53,2016-05-21,Pithoragarh
22.6,28.4,17.9,67,0.8,0.8,53,2016-05-22,Pithoragarh
20.7,24.8,17.9,75,15.3,15.3,61,2016-05-23,Pithoragarh
20.6,26.1,17.3,63,12.8,12.8,63,2016-05-24,Pithoragarh
19.1,23.9,14.3,61,13.6,13.6,63,2016-05-25,Pithoragarh
