temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
12.3,19.4,5.7,58,0.0,0.0,0,1979-01-01,Tehri Garhwal
12.2,18.4,5.4,58,0.0,0.0,0,1979-01-02,Tehri Garhwal
12.7,18.7,6.0,55,0.0,0.0,1,1979-01-03,Tehri Garhwal
13.1,18.7,7.5,55,0.0,0.0,0,1979-01-04,Tehri Garhwal
12.6,20.3,4.1,60,0.0,0.0,0,1979-01-05,Tehri Garhwal
13.9,20.3,8.6,56,0.0,0.0,3,1979-01-06,Tehri Garhwal
14.1,20.2,9.1,64,0.0,0.0,1,1979-01-07,Tehri Garhwal
13.9,21.3,6.3,62,0.0,0.0,0,1979-01-08,Tehri Garhwal
13.7,20.7,8.2,59,0.0,0.0,0,1979-01-09,Tehri Garhwal
13.4,20.8,5.2,59,0.0,0.0,0,1979-01-10,Tehri Garhwal
14.0,21.1,8.2,60,0.0,0.0,3,1979-01-11,Tehri Garhwal
14.2,20.6,9.5,63,0.0,0.0,3,1979-01-12,Tehri Garhwal
14.4,19.8,9.7,65,0.0,0.0,3,1979-01-13,Tehri Garhwal
12.4,15.0,9.1,78,8.6,8.6,53,1979-01-14,Tehri Garhwal
11.3,17.0,4.6,79,3.3,3.3,53,1979-01-15,Tehri Garhwal
10.6,13.5,8.3,85,10.1,10.1,55,1979-01-16,Tehri Garhwal
11.3,16.0,6.1,73,3.4,3.4,55,1979-01-17,Tehri Garhwal
11.0,18.0,3.2,63,0.0,0.0,3,1979-01-18,Tehri Garhwal
10.7,15.4,7.0,78,0.1,0.1,51,1979-01-19,Tehri Garhwal
9.4,14.1,5.6,86,3.7,3.7,53,1979-01-20,Tehri Garhwal
10.5,17.4,2.6,65,0.0,0.0,3,1979-01-21,Tehri Garhwal
11.2,16.5,6.6,62,0.0,0.0,3,1979-01-22,Tehri Garhwal
11.3,18.7,3.9,59,0.0,0.0,0,1979-01-23,Tehri Garhwal
11.8,20.2,3.3,60,0.0,0.0,2,1979-01-24,Tehri Garhwal
11.9,19.5,4.3,66,0.0,0.0,3,1979-01-25,Tehri Garhwal
13.9,18.9,9.4,67,0.3,0.3,51,1979-01-26,Tehri Garhwal
12.7,18.2,5.7,59,0.0,0.0,3,1979-01-27,Tehri Garhwal
10.9,16.5,6.4,64,6.2,6.2,61,1979-01-28,Tehri Garhwal
9.9,13.4,7.6,86,9.5,9.5,61,1979-01-29,Tehri Garhwal
9.8,14.5,5.4,74,0.8,0.8,53,1979-01-30,Tehri Garhwal
10.8,18.1,1.5,67,0.0,0.0,3,1979-01-31,Tehri Garhwal
10.6,15.6,7.1,77,2.3,2.3,61,1979-02-01,Tehri Garhwal
9.3,15.6,2.0,69,0.2,0.2,51,1979-02-02,Tehri Garhwal
10.0,17.2,1.8,60,0.0,0.0,1,1979-02-03,Tehri Garhwal
11.0,17.8,3.7,65,0.0,0.0,3,1979-02-04,Tehri Garhwal
12.1,18.8,4.9,71,0.0,0.0,2,1979-02-05,Tehri Garhwal
12.3,18.8,6.1,72,0.0,0.0,3,1979-02-06,Tehri Garhwal
8.7,11.9,6.8,88,11.9,11.7,71,1979-02-07,Tehri Garhwal
10.4,15.1,6.8,78,0.1,0.1,51,1979-02-08,Tehri Garhwal
