temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
9.3,19.2,2.5,43,0.0,0.0,1,2025-01-01,Almora
11.3,20.5,4.5,39,0.0,0.0,3,2025-01-02,Almora
12.2,22.4,5.7,36,0.0,0.0,3,2025-01-03,Almora
12.6,22.3,6.4,31,0.0,0.0,1,2025-01-04,Almora
11.4,22.0,5.1,44,0.0,0.0,2,2025-01-05,Almora
8.4,16.2,3.1,65,1.1,1.1,53,2025-01-06,Almora
8.0,15.7,3.6,66,0.4,0.4,51,2025-01-07,Almora
7.7,17.8,2.1,64,0.0,0.0,0,2025-01-08,Almora
7.1,16.9,1.9,73,0.0,0.0,3,2025-01-09,Almora
8.0,17.9,1.2,67,0.0,0.0,0,2025-01-10,Almora
8.2,16.2,1.9,64,0.0,0.0,3,2025-01-11,Almora
6.9,11.4,2.5,75,3.2,3.2,53,2025-01-12,Almora
7.1,15.4,1.0,66,0.0,0.0,0,2025-01-13,Almora
7.5,16.5,1.3,65,0.0,0.0,0,2025-01-14,Almora
8.2,18.2,1.3,66,0.0,0.0,3,2025-01-15,Almora
5.9,10.9,2.9,83,5.4,5.0,73,2025-01-16,Almora
7.5,17.2,0.1,63,0.0,0.0,0,2025-01-17,Almora
9.7,18.2,3.1,43,0.0,0.0,3,2025-01-18,Almora
12.4,21.8,6.4,32,0.0,0.0,3,2025-01-19,Almora
12.6,22.5,5.7,30,0.0,0.0,3,2025-01-20,Almora
12.8,22.1,6.3,35,0.0,0.0,3,2025-01-21,Almora
11.9,21.0,5.2,45,0.0,0.0,0,2025-01-22,Almora
10.1,17.5,4.8,53,0.0,0.0,3,2025-01-23,Almora
9.0,16.8,2.9,65,0.0,0.0,0,2025-01-24,Almora
9.8,19.1,3.7,57,0.0,0.0,0,2025-01-25,Almora
9.8,20.0,3.8,59,0.0,0.0,0,2025-01-26,Almora
9.3,18.8,3.4,64,0.0,0.0,0,2025-01-27,Almora
9.8,19.3,3.1,66,0.0,0.0,0,2025-01-28,Almora
9.5,18.6,2.3,73,0.0,0.0,3,2025-01-29,Almora
9.8,18.5,3.9,66,0.0,0.0,3,2025-01-30,Almora
9.9,18.4,3.1,45,0.0,0.0,0,2025-01-31,Almora
9.5,18.6,2.2,52,0.0,0.0,0,2025-02-01,Almora
9.7,18.6,2.9,50,0.0,0.0,0,2025-02-02,Almora
11.3,22.7,2.9,47,0.0,0.0,0,2025-02-03,Almora
9.3,12.9,6.1,69,7.7,7.7,63,2025-02-04,Almora
9.3,17.8,3.4,70,0.0,0.0,1,2025-02-05,Almora
8.8,18.8,1.7,58,0.0,0.0,1,2025-02-06,Almora
9.8,20.3,2.4,48,0.0,0.0,3,2025-02-07,Almora
10.9,20.7,3.9,41,0.0,0.0,3,2025-02-08,Almora
11.6,20.2,4.6,38,0.0,0.0,1,2025-02-09,Almora
11.1,20.0,5.2,43,0.0,0.0,3,2025-02-10,Almora
10.2,17.7,4.1,53,0.0,0.0,1,2025-02-11,Almora
9.8,17.5,4.4,54,0.0,0.0,1,2025-02-12,Almora
9.8,18.7,3.9,51,0.0,0.0,3,2025-02-13,Almora
10.5,19.8,3.9,40,0.0,0.0,2,2025-02-14,Almora
8.6,14.5,5.1,54,6.2,6.2,63,2025-02-15,Almora
10.6,19.9,3.7,55,0.0,0.0,3,2025-02-16,Almora
11.3,19.1,5.7,56,0.0,0.0,3,2025-02-17,Almora
11.1,19.7,5.8,56,0.0,0.0,3,2025-02-18,Almora
11.6,20.7,4.7,49,0.0,0.0,3,2025-02-19,Almora
10.0,16.1,6.5,56,0.5,0.5,51,2025-02-20,Almora
10.9,19.7,3.8,59,2.2,2.2,55,2025-02-21,Almora
10.8,19.9,3.9,63,1.6,1.6,61,2025-02-22,Almora
10.7,19.0,4.9,67,1.2,1.2,53,2025-02-23,Almora
11.0,19.6,4.6,59,0.0,0.0,2,2025-02-24,Almora
12.1,20.8,5.0,60,0.0,0.0,3,2025-02-25,Almora
12.8,21.1,7.1,69,0.1,0.1,51,2025-02-26,Almora
10.5,15.1,8.7,84,18.2,18.2,63,2025-02-27,Almora
7.6,8.5,6.8,97,54.3,54.3,63,2025-02-28,Almora
9.7,15.9,4.8,73,4.3,4.3,63,2025-03-01,Almora
10.9,19.4,4.1,55,0.0,0.0,0,2025-03-02,Almora
12.2,21.5,4.9,47,0.0,0.0,0,2025-03-03,Almora
11.0,17.3,6.9,64,2.2,2.2,55,2025-03-04,Almora
10.5,18.9,4.5,64,0.0,0.0,0,2025-03-05,Almora
12.3,22.7,5.3,59,0.0,0.0,0,2025-03-06,Almora
11.4,20.5,4.0,66,0.0,0.0,3,2025-03-07,Almora
12.0,21.3,4.3,71,0.0,0.0,3,2025-03-08,Almora
13.3,21.5,6.3,71,0.0,0.0,0,2025-03-09,Almora
13.7,20.7,7.9,68,0.0,0.0,3,2025-03-10,Almora
14.7,22.9,8.3,62,0.0,0.0,3,2025-03-11,Almora
15.0,23.6,7.7,56,0.0,0.0,3,2025-03-12,Almora
14.6,22.5,7.9,56,1.4,1.4,53,2025-03-13,Almora
15.1,22.7,8.1,48,0.0,0.0,3,2025-03-14,Almora
12.9,20.7,7.4,65,11.1,11.1,63,2025-03-15,Almora
12.3,19.9,6.2,71,1.8,1.8,53,2025-03-16,Almora
11.2,19.5,3.9,66,0.0,0.0,3,2025-03-17,Almora
13.3,22.7,6.2,56,0.0,0.0,1,2025-03-18,Almora
14.5,23.8,7.2,56,0.0,0.0,3,2025-03-19,Almora
14.2,21.9,6.9,48,0.0,0.0,1,2025-03-20,Almora
14.1,21.8,6.7,47,0.1,0.1,51,2025-03-21,Almora
12.5,20.0,6.1,52,3.7,3.7,63,2025-03-22,Almora
14.0,22.3,7.8,52,0.0,0.0,1,2025-03-23,Almora
15.3,24.3,8.1,60,0.0,0.0,0,2025-03-24,Almora
16.3,24.1,9.1,61,0.0,0.0,0,2025-03-25,Almora
17.6,26.1,10.4,52,0.0,0.0,0,2025-03-26,Almora
18.4,26.6,10.2,39,0.0,0.0,3,2025-03-27,Almora
16.9,25.9,8.9,41,0.0,0.0,1,2025-03-28,Almora
17.1,27.7,8.2,39,0.0,0.0,3,2025-03-29,Almora
17.9,28.4,9.6,38,0.0,0.0,3,2025-03-30,Almora
17.0,27.5,8.6,32,0.0,0.0,0,2025-03-31,Almora
16.9,26.7,8.2,35,0.0,0.0,1,2025-04-01,Almora
17.0,26.3,8.3,38,0.0,0.0,0,2025-04-02,Almora
17.3,26.0,9.9,34,0.0,0.0,1,2025-04-03,Almora
17.3,24.6,10.3,31,0.0,0.0,1,2025-04-04,Almora
18.0,27.8,9.7,35,0.0,0.0,1,2025-04-05,Almora
19.1,28.6,10.3,41,0.0,0.0,2,2025-04-06,Almora
19.7,28.6,11.3,40,0.0,0.0,3,2025-04-07,Almora
19.4,25.9,12.2,46,0.0,0.0,3,2025-04-08,Almora
18.6,24.9,12.4,57,1.3,1.3,53,2025-04-09,Almora
16.6,24.5,11.3,76,4.5,4.5,61,2025-04-10,Almora
15.6,23.2,10.9,80,10.5,10.5,63,2025-04-11,Almora
14.0,19.3,10.8,81,18.5,18.5,63,2025-04-12,Almora
16.3,23.9,8.4,60,0.1,0.1,51,2025-04-13,Almora
17.4,23.9,10.4,62,0.0,0.0,3,2025-04-14,Almora
17.8,24.0,11.5,69,1.0,1.0,51,2025-04-15,Almora
18.4,24.5,12.6,67,1.3,1.3,51,2025-04-16,Almora
17.4,22.1,13.0,72,1.6,1.6,51,2025-04-17,Almora
19.1,26.2,12.1,66,0.0,0.0,3,2025-04-18,Almora
19.0,25.7,13.1,68,0.6,0.6,51,2025-04-19,Almora
19.4,26.6,12.6,58,1.4,1.4,61,2025-04-20,Almora
20.4,27.9,12.7,46,0.0,0.0,3,2025-04-21,Almora
21.0,29.0,13.6,42,0.0,0.0,2,2025-04-22,Almora
20.6,29.1,13.2,36,0.0,0.0,0,2025-04-23,Almora
20.2,27.6,12.9,30,0.0,0.0,1,2025-04-24,Almora
20.6,27.8,12.5,25,0.0,0.0,1,2025-04-25,Almora
21.2,29.0,12.6,24,0.0,0.0,3,2025-04-26,Almora
19.9,26.2,14.8,33,0.0,0.0,3,2025-04-27,Almora
19.0,25.3,12.2,43,0.0,0.0,3,2025-04-28,Almora
18.6,27.0,11.3,61,1.1,1.1,55,2025-04-29,Almora
18.9,26.3,13.6,65,0.8,0.8,53,2025-04-30,Almora
17.4,24.4,12.5,76,5.2,5.2,61,2025-05-01,Almora
17.0,22.8,12.2,76,0.6,0.6,51,2025-05-02,Almora
18.0,24.2,13.2,71,5.1,5.1,63,2025-05-03,Almora
18.3,26.5,12.3,69,0.9,0.9,53,2025-05-04,Almora
