temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
9.9,22.5,1.4,66,0.0,0.0,2,2025-01-01,Bageshwar
10.7,24.4,1.9,64,0.0,0.0,3,2025-01-02,Bageshwar
11.9,25.0,3.9,60,0.0,0.0,3,2025-01-03,Bageshwar
12.0,26.2,3.0,58,0.0,0.0,1,2025-01-04,Bageshwar
11.8,23.8,3.6,57,0.0,0.0,2,2025-01-05,Bageshwar
10.6,19.7,3.9,70,0.0,0.0,3,2025-01-06,Bageshwar
9.6,19.8,2.9,76,0.0,0.0,3,2025-01-07,Bageshwar
8.8,22.0,0.3,70,0.0,0.0,0,2025-01-08,Bageshwar
9.4,21.4,1.6,75,0.0,0.0,3,2025-01-09,Bageshwar
10.0,21.4,1.1,65,0.0,0.0,1,2025-01-10,Bageshwar
11.0,20.3,4.1,57,0.0,0.0,3,2025-01-11,Bageshwar
9.9,15.2,4.1,72,4.8,4.8,53,2025-01-12,Bageshwar
8.5,19.1,0.9,67,0.0,0.0,0,2025-01-13,Bageshwar
8.6,20.2,0.6,65,0.0,0.0,0,2025-01-14,Bageshwar
9.6,20.3,1.0,63,0.0,0.0,3,2025-01-15,Bageshwar
8.8,13.9,5.3,79,8.6,7.4,73,2025-01-16,Bageshwar
8.8,20.6,1.0,65,0.0,0.0,0,2025-01-17,Bageshwar
9.7,20.0,1.0,56,0.0,0.0,3,2025-01-18,Bageshwar
12.2,24.2,4.4,53,0.0,0.0,3,2025-01-19,Bageshwar
12.5,25.5,3.9,53,0.0,0.0,3,2025-01-20,Bageshwar
12.9,24.6,5.0,54,0.0,0.0,3,2025-01-21,Bageshwar
12.1,23.7,4.5,58,0.0,0.0,1,2025-01-22,Bageshwar
11.4,21.0,4.5,62,0.0,0.0,3,2025-01-23,Bageshwar
10.3,21.1,2.7,67,0.0,0.0,0,2025-01-24,Bageshwar
10.8,22.9,2.0,67,0.0,0.0,0,2025-01-25,Bageshwar
11.0,24.3,1.8,64,0.0,0.0,0,2025-01-26,Bageshwar
11.4,23.6,2.7,68,0.0,0.0,0,2025-01-27,Bageshwar
11.7,23.6,2.5,68,0.0,0.0,0,2025-01-28,Bageshwar
11.4,20.9,4.1,70,0.0,0.0,3,2025-01-29,Bageshwar
11.4,22.3,4.7,65,0.0,0.0,3,2025-01-30,Bageshwar
10.7,21.9,2.5,62,0.0,0.0,0,2025-01-31,Bageshwar
10.7,21.9,2.4,58,0.0,0.0,0,2025-02-01,Bageshwar
10.9,22.5,2.8,61,0.0,0.0,0,2025-02-02,Bageshwar
11.8,26.1,1.5,58,0.0,0.0,0,2025-02-03,Bageshwar
10.4,15.7,4.7,75,9.1,9.1,63,2025-02-04,Bageshwar
12.0,21.3,6.5,70,0.3,0.3,51,2025-02-05,Bageshwar
10.8,22.2,2.8,63,0.0,0.0,2,2025-02-06,Bageshwar
10.8,24.0,1.7,58,0.0,0.0,3,2025-02-07,Bageshwar
11.6,25.0,2.4,60,0.0,0.0,3,2025-02-08,Bageshwar
12.3,24.1,3.5,63,0.0,0.0,2,2025-02-09,Bageshwar
11.7,22.4,3.7,60,0.1,0.1,51,2025-02-10,Bageshwar
11.7,22.5,3.3,58,0.0,0.0,1,2025-02-11,Bageshwar
11.6,22.0,3.8,56,0.0,0.0,1,2025-02-12,Bageshwar
10.9,22.7,2.4,60,0.0,0.0,1,2025-02-13,Bageshwar
11.6,24.7,2.1,55,0.0,0.0,2,2025-02-14,Bageshwar
10.3,18.0,4.1,64,1.1,1.1,53,2025-02-15,Bageshwar
12.1,23.2,2.6,61,0.0,0.0,3,2025-02-16,Bageshwar
12.9,23.1,4.7,63,0.1,0.1,51,2025-02-17,Bageshwar
12.7,24.1,5.1,62,0.0,0.0,3,2025-02-18,Bageshwar
