temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
7.8,15.2,2.5,48,0.0,0.0,3,2022-01-01,Chamoli
9.2,16.2,2.9,45,0.0,0.0,3,2022-01-02,Chamoli
8.3,15.6,2.2,46,0.0,0.0,3,2022-01-03,Chamoli
9.0,14.7,4.7,60,3.1,3.1,61,2022-01-04,Chamoli
8.5,11.2,6.5,82,12.5,12.5,61,2022-01-05,Chamoli
8.9,14.9,5.1,78,11.5,10.9,73,2022-01-06,Chamoli
8.7,16.4,3.3,61,3.4,3.4,63,2022-01-07,Chamoli
7.5,13.1,2.5,66,5.1,5.1,61,2022-01-08,Chamoli
7.3,13.2,2.6,74,11.0,9.8,73,2022-01-09,Chamoli
4.6,6.8,0.5,81,22.9,13.5,75,2022-01-10,Chamoli
5.6,13.7,0.2,58,0.0,0.0,1,2022-01-11,Chamoli
5.6,13.1,0.2,51,0.0,0.0,3,2022-01-12,Chamoli
6.4,13.8,0.7,49,0.0,0.0,3,2022-01-13,Chamoli
6.9,14.4,0.7,46,0.0,0.0,3,2022-01-14,Chamoli
6.4,14.5,0.3,46,0.0,0.0,3,2022-01-15,Chamoli
8.5,15.9,0.9,40,0.0,0.0,3,2022-01-16,Chamoli
10.0,14.9,4.0,46,0.6,0.6,51,2022-01-17,Chamoli
10.9,16.2,4.1,57,0.0,0.0,3,2022-01-18,Chamoli
8.0,14.3,1.9,64,0.0,0.0,3,2022-01-19,Chamoli
7.2,9.9,4.5,77,1.8,1.8,51,2022-01-20,Chamoli
6.1,11.2,1.7,81,15.1,11.0,75,2022-01-21,Chamoli
5.5,9.7,1.9,82,4.4,4.1,73,2022-01-22,Chamoli
6.0,9.2,2.7,87,11.2,11.0,71,2022-01-23,Chamoli
5.9,9.4,2.7,81,4.6,4.1,71,2022-01-24,Chamoli
6.2,11.9,1.7,70,0.0,0.0,3,2022-01-25,Chamoli
