temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
11.0,18.0,7.3,84,0.0,0.0,1,2024-01-01,Dehradun
11.2,17.5,8.1,81,0.0,0.0,3,2024-01-02,Dehradun
11.2,17.2,7.2,80,0.0,0.0,3,2024-01-03,Dehradun
11.3,17.3,6.2,70,0.0,0.0,1,2024-01-04,Dehradun
11.1,17.2,6.3,76,0.0,0.0,1,2024-01-05,Dehradun
10.2,17.5,4.5,76,0.0,0.0,0,2024-01-06,Dehradun
12.0,18.1,7.0,72,0.0,0.0,3,2024-01-07,Dehradun
11.6,18.3,5.9,78,0.0,0.0,1,2024-01-08,Dehradun
10.4,18.3,6.1,70,0.0,0.0,1,2024-01-09,Dehradun
10.1,18.7,5.4,69,0.0,0.0,1,2024-01-10,Dehradun
9.9,16.5,5.9,74,0.0,0.0,1,2024-01-11,Dehradun
10.2,15.8,5.8,78,0.0,0.0,3,2024-01-12,Dehradun
10.7,16.5,6.9,80,0.0,0.0,3,2024-01-13,Dehradun
11.8,18.4,7.1,71,0.0,0.0,1,2024-01-14,Dehradun
11.5,17.8,6.0,73,0.0,0.0,1,2024-01-15,Dehradun
11.9,17.7,7.6,67,0.0,0.0,0,2024-01-16,Dehradun
11.3,17.5,5.0,72,0.0,0.0,1,2024-01-17,Dehradun
10.4,17.4,4.6,85,0.0,0.0,3,2024-01-18,Dehradun
10.3,15.7,6.5,83,0.0,0.0,3,2024-01-19,Dehradun
9.3,14.9,5.2,88,0.0,0.0,3,2024-01-20,Dehradun
8.8,15.3,3.7,80,0.0,0.0,1,2024-01-21,Dehradun
8.9,14.5,4.7,82,0.0,0.0,3,2024-01-22,Dehradun
8.8,16.1,3.6,75,0.0,0.0,1,2024-01-23,Dehradun
10.4,16.9,5.4,62,0.0,0.0,0,2024-01-24,Dehradun
10.3,17.0,4.2,65,0.0,0.0,3,2024-01-25,Dehradun
11.1,17.2,6.4,68,0.0,0.0,3,2024-01-26,Dehradun
12.0,17.7,7.9,69,0.0,0.0,3,2024-01-27,Dehradun
12.5,17.2,7.1,68,0.0,0.0,3,2024-01-28,Dehradun
12.5,18.4,8.1,64,0.0,0.0,0,2024-01-29,Dehradun
12.5,18.0,7.6,74,0.0,0.0,3,2024-01-30,Dehradun
10.3,14.8,6.4,86,3.2,3.2,61,2024-01-31,Dehradun
10.4,13.7,7.2,87,27.3,27.3,63,2024-02-01,Dehradun
9.4,15.5,4.7,82,0.0,0.0,2,2024-02-02,Dehradun
10.8,19.5,3.5,64,0.0,0.0,3,2024-02-03,Dehradun
11.6,15.4,8.2,80,27.7,27.7,63,2024-02-04,Dehradun
10.5,16.1,6.6,86,0.9,0.9,51,2024-02-05,Dehradun
10.1,16.8,5.9,75,0.0,0.0,0,2024-02-06,Dehradun
9.2,16.5,3.0,71,0.0,0.0,3,2024-02-07,Dehradun
10.1,17.7,3.3,68,0.0,0.0,0,2024-02-08,Dehradun
11.1,17.0,5.7,69,0.0,0.0,2,2024-02-09,Dehradun
11.0,18.5,5.3,84,0.0,0.0,3,2024-02-10,Dehradun
12.7,21.2,6.3,76,0.0,0.0,2,2024-02-11,Dehradun
13.5,20.8,7.4,71,0.0,0.0,3,2024-02-12,Dehradun
15.2,20.5,10.5,64,0.0,0.0,3,2024-02-13,Dehradun
14.1,21.3,8.3,67,0.0,0.0,0,2024-02-14,Dehradun
14.7,21.6,9.2,67,0.0,0.0,0,2024-02-15,Dehradun
15.1,21.8,9.2,71,0.0,0.0,1,2024-02-16,Dehradun
14.5,20.8,8.5,75,0.0,0.0,3,2024-02-17,Dehradun
15.4,21.5,9.7,74,0.0,0.0,3,2024-02-18,Dehradun
16.3,21.2,12.7,61,7.5,7.5,63,2024-02-19,Dehradun
15.0,20.9,10.2,74,25.9,25.9,65,2024-02-20,Dehradun
13.1,20.9,7.3,62,0.0,0.0,2,2024-02-21,Dehradun
11.1,19.1,4.3,54,0.0,0.0,1,2024-02-22,Dehradun
11.9,19.2,4.8,50,0.0,0.0,0,2024-02-23,Dehradun
11.2,18.3,5.3,53,0.0,0.0,1,2024-02-24,Dehradun
10.7,19.0,2.9,55,0.0,0.0,3,2024-02-25,Dehradun
13.3,21.1,6.3,51,0.0,0.0,3,2024-02-26,Dehradun
13.6,17.4,7.9,66,1.8,1.8,51,2024-02-27,Dehradun
13.5,20.3,6.6,66,0.0,0.0,1,2024-02-28,Dehradun
15.5,23.3,8.7,66,0.0,0.0,3,2024-02-29,Dehradun
16.2,22.7,10.4,66,2.0,2.0,61,2024-03-01,Dehradun
15.9,21.0,13.3,74,14.9,14.9,63,2024-03-02,Dehradun
13.8,18.0,10.8,85,17.4,17.4,63,2024-03-03,Dehradun
12.0,18.4,6.5,72,0.0,0.0,3,2024-03-04,Dehradun
12.4,19.9,6.5,73,0.0,0.0,3,2024-03-05,Dehradun
14.0,20.2,8.2,73,0.0,0.0,3,2024-03-06,Dehradun
13.8,21.6,7.9,66,0.1,0.1,51,2024-03-07,Dehradun
14.3,21.1,8.3,61,0.0,0.0,0,2024-03-08,Dehradun
15.7,22.8,8.4,66,0.0,0.0,3,2024-03-09,Dehradun
17.1,24.7,9.9,67,0.0,0.0,3,2024-03-10,Dehradun
17.8,23.7,12.6,64,0.5,0.5,53,2024-03-11,Dehradun
17.8,25.0,11.5,59,0.2,0.2,51,2024-03-12,Dehradun
16.9,24.1,11.1,61,0.5,0.5,51,2024-03-13,Dehradun
16.8,24.3,10.8,56,0.1,0.1,51,2024-03-14,Dehradun
16.8,25.5,9.5,57,0.0,0.0,0,2024-03-15,Dehradun
18.1,25.9,12.3,54,0.1,0.1,51,2024-03-16,Dehradun
18.1,26.7,10.9,57,0.0,0.0,3,2024-03-17,Dehradun
18.1,25.7,11.8,56,0.0,0.0,3,2024-03-18,Dehradun
18.1,26.2,11.6,55,0.0,0.0,3,2024-03-19,Dehradun
19.1,28.1,11.5,48,0.0,0.0,3,2024-03-20,Dehradun
18.8,23.8,13.6,59,0.0,0.0,3,2024-03-21,Dehradun
19.0,25.2,14.1,70,0.9,0.9,53,2024-03-22,Dehradun
20.5,27.8,13.1,55,0.0,0.0,3,2024-03-23,Dehradun
17.7,25.6,12.1,63,1.2,1.2,55,2024-03-24,Dehradun
19.6,27.6,11.9,57,0.0,0.0,1,2024-03-25,Dehradun
20.2,27.5,12.8,64,0.0,0.0,3,2024-03-26,Dehradun
22.2,28.6,16.2,62,0.0,0.0,3,2024-03-27,Dehradun
23.2,31.2,16.0,57,0.0,0.0,3,2024-03-28,Dehradun
23.8,29.9,17.6,51,0.0,0.0,3,2024-03-29,Dehradun
22.2,30.2,17.1,52,8.1,8.1,63,2024-03-30,Dehradun
21.5,28.9,15.0,48,0.0,0.0,2,2024-03-31,Dehradun
20.4,25.9,14.4,53,0.0,0.0,3,2024-04-01,Dehradun
20.5,27.1,14.8,57,0.0,0.0,3,2024-04-02,Dehradun
21.7,29.6,14.9,45,0.0,0.0,3,2024-04-03,Dehradun
22.0,30.4,14.9,43,0.0,0.0,3,2024-04-04,Dehradun
21.0,29.0,13.8,44,0.0,0.0,3,2024-04-05,Dehradun
20.7,29.3,12.6,44,0.0,0.0,0,2024-04-06,Dehradun
20.8,29.0,13.4,44,0.0,0.0,1,2024-04-07,Dehradun
20.8,29.8,12.3,39,0.0,0.0,2,2024-04-08,Dehradun
21.3,30.4,12.9,40,0.0,0.0,3,2024-04-09,Dehradun
22.2,30.7,13.7,41,0.0,0.0,2,2024-04-10,Dehradun
