temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
7.7,12.5,4.9,68,0.0,0.0,3,2024-01-01,Nainital
7.7,12.6,4.8,73,0.0,0.0,3,2024-01-02,Nainital
6.7,11.5,2.6,58,0.0,0.0,3,2024-01-03,Nainital
6.8,11.4,2.8,51,0.0,0.0,0,2024-01-04,Nainital
6.1,12.3,2.0,67,0.0,0.0,0,2024-01-05,Nainital
6.5,11.7,2.9,67,1.2,1.2,53,2024-01-06,Nainital
6.9,11.7,2.4,75,0.2,0.2,51,2024-01-07,Nainital
6.9,11.7,1.8,66,0.0,0.0,3,2024-01-08,Nainital
6.5,12.2,1.7,50,0.3,0.3,51,2024-01-09,Nainital
8.1,12.9,2.5,55,0.0,0.0,0,2024-01-10,Nainital
9.0,13.9,2.6,52,0.0,0.0,0,2024-01-11,Nainital
10.5,15.8,6.0,52,0.0,0.0,3,2024-01-12,Nainital
10.7,15.9,5.4,53,0.0,0.0,3,2024-01-13,Nainital
8.8,13.7,4.3,53,0.0,0.0,0,2024-01-14,Nainital
6.4,11.9,2.3,68,0.0,0.0,0,2024-01-15,Nainital
5.5,10.9,0.9,64,0.0,0.0,0,2024-01-16,Nainital
4.9,9.9,1.3,77,0.7,0.7,51,2024-01-17,Nainital
4.6,10.0,-0.1,81,0.7,0.7,51,2024-01-18,Nainital
3.6,9.7,-1.6,81,0.0,0.0,3,2024-01-19,Nainital
3.3,9.0,-1.0,79,0.0,0.0,3,2024-01-20,Nainital
4.4,10.7,-1.5,65,0.0,0.0,2,2024-01-21,Nainital
5.0,10.6,-0.4,63,0.0,0.0,3,2024-01-22,Nainital
4.2,9.8,-2.1,61,0.0,0.0,3,2024-01-23,Nainital
4.9,9.4,0.3,48,0.0,0.0,2,2024-01-24,Nainital
5.2,10.1,0.9,51,0.0,0.0,3,2024-01-25,Nainital
5.6,10.7,2.6,44,0.0,0.0,3,2024-01-26,Nainital
6.5,12.5,2.9,56,0.0,0.0,2,2024-01-27,Nainital
6.3,12.1,-0.2,71,0.0,0.0,3,2024-01-28,Nainital
6.2,11.3,0.6,62,0.0,0.0,2,2024-01-29,Nainital
6.2,11.3,2.5,72,0.0,0.0,3,2024-01-30,Nainital
5.3,10.9,-0.3,72,1.3,1.3,53,2024-01-31,Nainital
3.7,5.7,0.4,91,19.4,17.2,75,2024-02-01,Nainital
3.2,9.2,-1.4,79,0.0,0.0,3,2024-02-02,Nainital
6.2,12.6,-0.4,54,0.0,0.0,3,2024-02-03,Nainital
5.5,9.0,2.0,79,16.6,16.6,63,2024-02-04,Nainital
4.4,9.0,-0.1,87,1.6,1.6,51,2024-02-05,Nainital
3.1,8.6,-1.5,79,0.0,0.0,3,2024-02-06,Nainital
3.9,10.3,-2.0,58,0.0,0.0,2,2024-02-07,Nainital
5.9,12.3,-1.3,45,0.0,0.0,0,2024-02-08,Nainital
7.3,11.8,2.6,68,0.0,0.0,3,2024-02-09,Nainital
5.6,12.2,0.6,85,0.3,0.3,51,2024-02-10,Nainital
7.9,13.1,1.9,66,0.4,0.4,51,2024-02-11,Nainital
8.0,13.2,3.7,63,0.0,0.0,3,2024-02-12,Nainital
8.0,12.6,3.9,46,0.0,0.0,3,2024-02-13,Nainital
8.5,13.1,3.7,51,0.8,0.8,53,2024-02-14,Nainital
8.6,13.7,3.5,66,0.0,0.0,0,2024-02-15,Nainital
9.1,13.8,5.7,67,0.0,0.0,0,2024-02-16,Nainital
9.6,14.7,5.5,58,0.0,0.0,3,2024-02-17,Nainital
9.1,13.9,5.8,67,0.0,0.0,3,2024-02-18,Nainital
8.1,14.1,3.1,72,29.9,28.8,73,2024-02-19,Nainital
5.7,11.4,1.2,85,54.2,54.0,71,2024-02-20,Nainital
6.3,11.5,-0.0,61,0.3,0.3,51,2024-02-21,Nainital
5.9,9.6,2.7,49,3.3,2.3,73,2024-02-22,Nainital
5.7,9.9,1.3,42,0.0,0.0,0,2024-02-23,Nainital
4.5,8.4,0.6,44,0.0,0.0,1,2024-02-24,Nainital
6.0,10.4,2.0,38,0.0,0.0,3,2024-02-25,Nainital
7.7,12.1,2.5,38,0.0,0.0,3,2024-02-26,Nainital
5.5,7.8,2.1,68,5.1,2.6,75,2024-02-27,Nainital
7.5,13.0,2.6,66,0.0,0.0,0,2024-02-28,Nainital
9.7,14.8,3.0,59,0.0,0.0,0,2024-02-29,Nainital
11.0,17.3,5.4,55,2.8,2.8,61,2024-03-01,Nainital
6.9,9.8,4.9,87,27.6,27.6,63,2024-03-02,Nainital
6.5,8.9,4.8,87,45.5,45.5,63,2024-03-03,Nainital
5.5,9.9,2.2,86,17.3,13.9,75,2024-03-04,Nainital
7.3,13.4,1.8,74,0.0,0.0,3,2024-03-05,Nainital
9.1,13.8,5.5,67,0.0,0.0,3,2024-03-06,Nainital
7.9,13.3,2.9,53,0.3,0.3,51,2024-03-07,Nainital
8.7,14.4,4.0,57,0.0,0.0,0,2024-03-08,Nainital
9.9,15.9,3.2,65,0.0,0.0,3,2024-03-09,Nainital
11.2,16.6,5.0,62,0.0,0.0,3,2024-03-10,Nainital
10.3,15.2,5.6,68,0.1,0.1,51,2024-03-11,Nainital
10.9,15.7,5.8,50,0.1,0.1,51,2024-03-12,Nainital
10.5,15.8,4.8,55,0.0,0.0,3,2024-03-13,Nainital
10.9,15.7,6.9,48,0.2,0.2,51,2024-03-14,Nainital
12.0,16.5,6.2,48,0.0,0.0,3,2024-03-15,Nainital
11.6,16.6,7.5,55,0.1,0.1,51,2024-03-16,Nainital
12.0,17.0,6.9,57,0.1,0.1,51,2024-03-17,Nainital
12.3,16.5,7.0,55,0.1,0.1,51,2024-03-18,Nainital
11.3,16.2,5.4,53,0.4,0.4,51,2024-03-19,Nainital
