temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,rain_sum,weather_code,date,district
8.7,13.3,4.5,64,0.0,0.0,3,2022-01-01,Pithoragarh
9.3,14.3,3.1,63,0.0,0.0,3,2022-01-02,Pithoragarh
10.1,14.7,5.7,56,0.0,0.0,3,2022-01-03,Pithoragarh
10.2,14.8,6.7,59,1.6,1.6,53,2022-01-04,Pithoragarh
8.8,12.4,5.7,81,9.9,9.9,61,2022-01-05,Pithoragarh
8.4,12.6,4.4,84,2.2,2.2,51,2022-01-06,Pithoragarh
9.6,13.8,6.2,71,1.2,1.2,51,2022-01-07,Pithoragarh
7.9,11.4,4.1,79,9.8,9.8,63,2022-01-08,Pithoragarh
5.9,9.8,2.6,83,51.4,48.0,75,2022-01-09,Pithoragarh
4.4,7.2,1.7,91,34.4,29.8,75,2022-01-10,Pithoragarh
6.1,11.7,-0.1,79,0.5,0.5,51,2022-01-11,Pithoragarh
7.5,11.6,4.3,77,0.7,0.7,53,2022-01-12,Pithoragarh
7.4,11.8,3.6,73,0.0,0.0,3,2022-01-13,Pithoragarh
7.4,12.1,2.8,75,0.0,0.0,3,2022-01-14,Pithoragarh
7.6,12.6,0.7,71,0.0,0.0,3,2022-01-15,Pithoragarh
7.5,13.9,2.8,63,0.0,0.0,3,2022-01-16,Pithoragarh
8.0,13.6,3.1,67,0.0,0.0,3,2022-01-17,Pithoragarh
9.0,13.8,6.1,57,0.0,0.0,1,2022-01-18,Pithoragarh
8.8,12.7,5.9,65,0.0,0.0,3,2022-01-19,Pithoragarh
7.1,9.5,3.8,75,0.5,0.5,51,2022-01-20,Pithoragarh
6.0,9.8,3.0,83,0.9,0.9,51,2022-01-21,Pithoragarh
4.4,7.8,1.2,83,2.0,2.0,55,2022-01-22,Pithoragarh
4.7,7.8,2.0,91,15.2,15.2,63,2022-01-23,Pithoragarh
4.2,7.0,2.0,91,4.2,4.1,71,2022-01-24,Pithoragarh
5.4,9.3,1.9,83,3.9,3.9,55,2022-01-25,Pithoragarh
4.5,8.3,1.5,86,4.2,4.2,53,2022-01-26,Pithoragarh
4.4,9.7,-0.5,82,0.0,0.0,3,2022-01-27,Pithoragarh
4.9,11.5,-0.1,79,0.0,0.0,3,2022-01-28,Pithoragarh
6.8,14.1,1.0,80,0.0,0.0,1,2022-01-29,Pithoragarh
8.3,15.0,2.9,77,0.0,0.0,3,2022-01-30,Pithoragarh
7.3,13.2,2.7,86,0.6,0.6,51,2022-01-31,Pithoragarh
6.9,12.2,2.3,73,0.0,0.0,3,2022-02-01,Pithoragarh
7.6,13.4,2.9,65,0.0,0.0,3,2022-02-02,Pithoragarh
5.3,7.4,2.6,90,22.9,17.1,75,2022-02-03,Pithoragarh
3.6,6.2,2.3,92,8.5,7.8,73,2022-02-04,Pithoragarh
5.1,9.8,1.0,85,0.0,0.0,3,2022-02-05,Pithoragarh
6.5,13.2,0.7,81,0.0,0.0,3,2022-02-06,Pithoragarh
8.4,14.1,3.8,79,0.0,0.0,3,2022-02-07,Pithoragarh
8.6,13.5,4.6,72,0.0,0.0,2,2022-02-08,Pithoragarh
5.3,7.6,1.4,83,4.5,4.5,55,2022-02-09,Pithoragarh
6.0,11.6,-0.6,79,0.0,0.0,2,2022-02-10,Pithoragarh
8.1,12.6,3.0,74,0.0,0.0,3,2022-02-11,Pithoragarh
9.3,15.9,3.9,61,0.0,0.0,1,2022-02-12,Pithoragarh
8.6,13.8,4.5,77,0.0,0.0,3,2022-02-13,Pithoragarh
9.0,14.5,4.9,83,0.0,0.0,3,2022-02-14,Pithoragarh
9.2,13.4,6.5,76,2.5,2.5,55,2022-02-15,Pithoragarh
9.7,14.3,4.9,62,0.1,0.1,51,2022-02-16,Pithoragarh
10.7,14.7,6.6,56,0.0,0.0,0,2022-02-17,Pithoragarh
10.7,15.5,6.3,53,0.0,0.0,0,2022-02-18,Pithoragarh
10.2,14.5,5.9,53,0.1,0.1,51,2022-02-19,Pithoragarh
8.1,12.5,4.2,69,7.1,7.1,63,2022-02-20,Pithoragarh
9.0,14.0,2.9,65,0.0,0.0,0,2022-02-21,Pithoragarh
10.8,16.4,5.9,65,0.0,0.0,3,2022-02-22,Pithoragarh
9.8,14.5,5.3,76,2.2,2.2,55,2022-02-23,Pithoragarh
8.6,14.1,5.5,78,7.7,7.7,63,2022-02-24,Pithoragarh
8.2,13.4,3.1,74,6.3,6.3,61,2022-02-25,Pithoragarh
7.2,10.9,4.3,75,8.2,8.2,61,2022-02-26,Pithoragarh
9.3,14.0,3.3,67,0.8,0.8,51,2022-02-27,Pithoragarh
11.7,16.7,6.3,56,0.0,0.0,3,2022-02-28,Pithoragarh
12.1,16.0,8.2,60,0.8,0.8,53,2022-03-01,Pithoragarh
12.7,17.3,7.4,57,0.3,0.3,51,2022-03-02,Pithoragarh
12.6,16.2,8.4,58,1.1,1.1,53,2022-03-03,Pithoragarh
12.3,17.2,6.4,48,0.0,0.0,2,2022-03-04,Pithoragarh
13.9,19.4,7.2,48,0.0,0.0,0,2022-03-05,Pithoragarh
14.5,19.3,10.6,53,0.0,0.0,3,2022-03-06,Pithoragarh
15.4,19.6,11.1,61,0.0,0.0,3,2022-03-07,Pithoragarh
16.2,21.3,9.8,51,0.0,0.0,3,2022-03-08,Pithoragarh
16.7,21.7,11.3,42,0.0,0.0,3,2022-03-09,Pithoragarh
16.1,20.9,11.8,46,0.0,0.0,3,2022-03-10,Pithoragarh
16.5,21.3,10.9,42,0.0,0.0,2,2022-03-11,Pithoragarh
16.8,22.4,11.3,49,0.0,0.0,0,2022-03-12,Pithoragarh
16.9,22.7,11.8,66,0.0,0.0,0,2022-03-13,Pithoragarh
17.8,24.0,11.4,70,0.0,0.0,2,2022-03-14,Pithoragarh
18.7,24.8,12.9,69,0.2,0.2,51,2022-03-15,Pithoragarh
19.2,25.2,13.7,71,0.0,0.0,1,2022-03-16,Pithoragarh
19.0,23.9,15.9,79,0.4,0.4,51,2022-03-17,Pithoragarh
20.1,25.2,14.3,70,0.0,0.0,3,2022-03-18,Pithoragarh
21.0,26.3,16.4,61,2.6,2.6,55,2022-03-19,Pithoragarh
20.2,24.9,15.6,54,0.6,0.6,53,2022-03-20,Pithoragarh
20.6,24.9,15.3,36,0.0,0.0,1,2022-03-21,Pithoragarh
19.9,25.5,13.0,41,0.0,0.0,0,2022-03-22,Pithoragarh
18.7,24.7,15.2,60,3.1,3.1,63,2022-03-23,Pithoragarh
18.7,23.0,12.9,47,0.0,0.0,2,2022-03-24,Pithoragarh
19.0,23.9,12.4,36,0.0,0.0,3,2022-03-25,Pithoragarh
19.3,25.2,13.5,37,0.0,0.0,0,2022-03-26,Pithoragarh
19.6,25.6,14.1,50,0.0,0.0,0,2022-03-27,Pithoragarh
20.4,27.1,15.3,51,0.0,0.0,0,2022-03-28,Pithoragarh
21.2,28.1,15.3,45,0.0,0.0,0,2022-03-29,Pithoragarh
21.1,27.5,15.8,53,0.0,0.0,0,2022-03-30,Pithoragarh
